id;settings;time;results 
0;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 3, "max-depth": 2, "file": "generated_dataset_05000_1_50_0", "test-file": "generated_dataset_05000_1_50_0", "core-file": "generated_dataset_05000_1_50_0"};1.25674414634705;[lambda x: x['F4'] == 'Z',[lambda x: x['F2'] > 0.6438155861482403,[None],[None]],[lambda x: x['F1'] > 0.6405509697219471,[None],[None]]] 
1;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "generated_dataset_05000_1_50_0", "test-file": "generated_dataset_05000_1_50_0", "core-file": "generated_dataset_05000_1_50_0"};0.506770133972168;[lambda x: x['F4'] == 'Z',[lambda x: x['F2'] > 0.6438155861482403,[lambda x: x['F0'] > 0.04554058902542796,[None],[None]],[lambda x: x['F1'] > 0.6405509697219471,[None],[None]]],[lambda x: x['F1'] > 0.6405509697219471,[lambda x: x['F2'] > 0.5458860583370442,[None],[None]],[lambda x: x['F2'] > 0.6438155861482403,[None],[None]]]] 
2;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_05000_1_50_0", "test-file": "generated_dataset_05000_1_50_0", "core-file": "generated_dataset_05000_1_50_0"};0.683995962142944;[lambda x: x['F4'] == 'Z',[lambda x: x['F2'] > 0.6438155861482403,[lambda x: x['F0'] > 0.04554058902542796,[None],[lambda x: x['F1'] > 0.348649872104937,[None],[None]]],[lambda x: x['F1'] > 0.6405509697219471,[lambda x: x['F1'] > 0.5384792264457083,[None],[None]],[lambda x: x['F2'] > 0.7500693129440923,[None],[None]]]],[lambda x: x['F1'] > 0.6405509697219471,[lambda x: x['F2'] > 0.5458860583370442,[None],[None]],[lambda x: x['F2'] > 0.6438155861482403,[None],[None]]]] 
3;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 31, "max-depth": 5, "file": "generated_dataset_05000_1_50_0", "test-file": "generated_dataset_05000_1_50_0", "core-file": "generated_dataset_05000_1_50_0"};0.589529037475586;[lambda x: x['F4'] == 'Z',[lambda x: x['F2'] > 0.6438155861482403,[lambda x: x['F0'] > 0.04554058902542796,[None],[lambda x: x['F1'] > 0.348649872104937,[None],[None]]],[lambda x: x['F1'] > 0.6405509697219471,[lambda x: x['F1'] > 0.5384792264457083,[lambda x: x['F1'] > 0.04898804736061807,[None],[None]],[None]],[lambda x: x['F2'] > 0.7500693129440923,[lambda x: x['F0'] > 0.5470680358690476,[None],[None]],[None]]]],[lambda x: x['F1'] > 0.6405509697219471,[lambda x: x['F2'] > 0.5458860583370442,[None],[None]],[lambda x: x['F2'] > 0.6438155861482403,[None],[None]]]] 
4;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 3, "max-depth": 2, "file": "generated_dataset_05000_1_50_1", "test-file": "generated_dataset_05000_1_50_1", "core-file": "generated_dataset_05000_1_50_1"};0.354017019271851;[lambda x: x['F0'] > 0.5501280714907002,[lambda x: x['F5'] == 'A',[None],[None]],[lambda x: x['F1'] > 0.6551925502706085,[None],[None]]] 
5;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "generated_dataset_05000_1_50_1", "test-file": "generated_dataset_05000_1_50_1", "core-file": "generated_dataset_05000_1_50_1"};0.389678955078125;[lambda x: x['F0'] > 0.5501280714907002,[lambda x: x['F5'] == 'A',[lambda x: x['F0'] > 0.1502824335258781,[None],[None]],[lambda x: x['F0'] > 0.25036061343201294,[None],[None]]],[lambda x: x['F1'] > 0.6551925502706085,[lambda x: x['F3'] > 0,[None],[None]],[None]]] 
6;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_05000_1_50_1", "test-file": "generated_dataset_05000_1_50_1", "core-file": "generated_dataset_05000_1_50_1"};0.455034017562866;[lambda x: x['F0'] > 0.5501280714907002,[lambda x: x['F5'] == 'A',[lambda x: x['F0'] > 0.1502824335258781,[lambda x: x['F0'] > 0.05159909507566107,[None],[None]],[lambda x: x['F0'] > 0.25036061343201294,[None],[None]]],[lambda x: x['F0'] > 0.25036061343201294,[lambda x: x['F0'] > 0.05159909507566107,[None],[None]],[None]]],[lambda x: x['F1'] > 0.6551925502706085,[lambda x: x['F3'] > 0,[lambda x: x['F4'] == 'Z',[None],[None]],[lambda x: x['F4'] == 'Y',[None],[None]]],[None]]] 
7;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 31, "max-depth": 5, "file": "generated_dataset_05000_1_50_1", "test-file": "generated_dataset_05000_1_50_1", "core-file": "generated_dataset_05000_1_50_1"};0.51327109336853;[lambda x: x['F0'] > 0.5501280714907002,[lambda x: x['F5'] == 'A',[lambda x: x['F0'] > 0.1502824335258781,[lambda x: x['F0'] > 0.05159909507566107,[None],[None]],[lambda x: x['F0'] > 0.25036061343201294,[None],[None]]],[lambda x: x['F0'] > 0.25036061343201294,[lambda x: x['F0'] > 0.05159909507566107,[None],[None]],[None]]],[lambda x: x['F1'] > 0.6551925502706085,[lambda x: x['F3'] > 0,[lambda x: x['F4'] == 'Z',[lambda x: x['F2'] > 0.2564068131455784,[None],[None]],[None]],[lambda x: x['F4'] == 'Y',[None],[None]]],[None]]] 
8;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 3, "max-depth": 2, "file": "generated_dataset_05000_1_50_2", "test-file": "generated_dataset_05000_1_50_2", "core-file": "generated_dataset_05000_1_50_2"};0.462548017501831;[lambda x: x['F5'] == 'B',[lambda x: x['F2'] > 0.6502176621581306,[None],[None]],[lambda x: x['F0'] > 0.259580792043745,[None],[None]]] 
9;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "generated_dataset_05000_1_50_2", "test-file": "generated_dataset_05000_1_50_2", "core-file": "generated_dataset_05000_1_50_2"};0.337898015975952;[lambda x: x['F5'] == 'B',[lambda x: x['F2'] > 0.6502176621581306,[lambda x: x['F1'] > 0.35096825488341893,[None],[None]],[lambda x: x['F3'] > 0,[None],[None]]],[lambda x: x['F0'] > 0.259580792043745,[lambda x: x['F1'] > 0.4511547411408479,[None],[None]],[lambda x: x['F2'] > 0.6502176621581306,[None],[None]]]] 
10;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_05000_1_50_2", "test-file": "generated_dataset_05000_1_50_2", "core-file": "generated_dataset_05000_1_50_2"};0.61187481880188;[lambda x: x['F5'] == 'B',[lambda x: x['F2'] > 0.6502176621581306,[lambda x: x['F1'] > 0.35096825488341893,[lambda x: x['F0'] > 0.259580792043745,[None],[None]],[lambda x: x['F0'] > 0.259580792043745,[None],[None]]],[lambda x: x['F3'] > 0,[None],[lambda x: x['F2'] > 0.9495325544476296,[None],[None]]]],[lambda x: x['F0'] > 0.259580792043745,[lambda x: x['F1'] > 0.4511547411408479,[None],[lambda x: x['F2'] > 0.5474805957518591,[None],[None]]],[lambda x: x['F2'] > 0.6502176621581306,[None],[lambda x: x['F3'] > 0,[None],[None]]]]] 
11;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 31, "max-depth": 5, "file": "generated_dataset_05000_1_50_2", "test-file": "generated_dataset_05000_1_50_2", "core-file": "generated_dataset_05000_1_50_2"};0.699778079986572;[lambda x: x['F5'] == 'B',[lambda x: x['F2'] > 0.6502176621581306,[lambda x: x['F1'] > 0.35096825488341893,[lambda x: x['F0'] > 0.259580792043745,[lambda x: x['F4'] == 'Y',[None],[None]],[None]],[lambda x: x['F0'] > 0.259580792043745,[lambda x: x['F1'] > 0.4511547411408479,[None],[None]],[lambda x: x['F1'] > 0.4511547411408479,[None],[None]]]],[lambda x: x['F3'] > 0,[None],[lambda x: x['F2'] > 0.9495325544476296,[lambda x: x['F1'] > 0.14900083476730397,[None],[None]],[None]]]],[lambda x: x['F0'] > 0.259580792043745,[lambda x: x['F1'] > 0.4511547411408479,[None],[lambda x: x['F2'] > 0.5474805957518591,[lambda x: x['F4'] == 'X',[None],[None]],[None]]],[lambda x: x['F2'] > 0.6502176621581306,[None],[lambda x: x['F3'] > 0,[lambda x: x['F2'] > 0.9495325544476296,[None],[None]],[lambda x: x['F1'] > 0.14900083476730397,[None],[None]]]]]] 
12;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 3, "max-depth": 2, "file": "generated_dataset_05000_1_50_3", "test-file": "generated_dataset_05000_1_50_3", "core-file": "generated_dataset_05000_1_50_3"};0.412095069885254;[lambda x: x['F0'] > 0.4484879247042163,[lambda x: x['F2'] > 0.7353327310387894,[None],[None]],[lambda x: x['F1'] > 0.05066495356003742,[None],[None]]] 
13;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "generated_dataset_05000_1_50_3", "test-file": "generated_dataset_05000_1_50_3", "core-file": "generated_dataset_05000_1_50_3"};0.353899002075195;[lambda x: x['F0'] > 0.4484879247042163,[lambda x: x['F2'] > 0.7353327310387894,[None],[lambda x: x['F4'] == 'Y',[None],[None]]],[lambda x: x['F1'] > 0.05066495356003742,[None],[lambda x: x['F5'] == 'C',[None],[None]]]] 
14;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_05000_1_50_3", "test-file": "generated_dataset_05000_1_50_3", "core-file": "generated_dataset_05000_1_50_3"};0.370810985565186;[lambda x: x['F0'] > 0.4484879247042163,[lambda x: x['F2'] > 0.7353327310387894,[None],[lambda x: x['F4'] == 'Y',[None],[None]]],[lambda x: x['F1'] > 0.05066495356003742,[None],[lambda x: x['F5'] == 'C',[None],[lambda x: x['F1'] > 0.5481862766398007,[None],[None]]]]] 
15;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 31, "max-depth": 5, "file": "generated_dataset_05000_1_50_3", "test-file": "generated_dataset_05000_1_50_3", "core-file": "generated_dataset_05000_1_50_3"};0.411807775497437;[lambda x: x['F0'] > 0.4484879247042163,[lambda x: x['F2'] > 0.7353327310387894,[None],[lambda x: x['F4'] == 'Y',[None],[None]]],[lambda x: x['F1'] > 0.05066495356003742,[None],[lambda x: x['F5'] == 'C',[None],[lambda x: x['F1'] > 0.5481862766398007,[None],[lambda x: x['F0'] > 0.7522178025791123,[None],[None]]]]]] 
16;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 3, "max-depth": 2, "file": "generated_dataset_05000_1_50_4", "test-file": "generated_dataset_05000_1_50_4", "core-file": "generated_dataset_05000_1_50_4"};0.318013906478882;[lambda x: x['F4'] == 'Y',[lambda x: x['F1'] > 0.55325160688468,[None],[None]],[lambda x: x['F1'] > 0.7503538787905277,[None],[None]]] 
17;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "generated_dataset_05000_1_50_4", "test-file": "generated_dataset_05000_1_50_4", "core-file": "generated_dataset_05000_1_50_4"};0.372087955474854;[lambda x: x['F4'] == 'Y',[lambda x: x['F1'] > 0.55325160688468,[lambda x: x['F4'] == 'Z',[None],[None]],[lambda x: x['F1'] > 0.7503538787905277,[None],[None]]],[lambda x: x['F1'] > 0.7503538787905277,[lambda x: x['F2'] > 0.7583131134269648,[None],[None]],[None]]] 
18;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_05000_1_50_4", "test-file": "generated_dataset_05000_1_50_4", "core-file": "generated_dataset_05000_1_50_4"};0.413994073867798;[lambda x: x['F4'] == 'Y',[lambda x: x['F1'] > 0.55325160688468,[lambda x: x['F4'] == 'Z',[None],[lambda x: x['F2'] > 0.45059424426013556,[None],[None]]],[lambda x: x['F1'] > 0.7503538787905277,[lambda x: x['F2'] > 0.05158163731066717,[None],[None]],[lambda x: x['F2'] > 0.15507211519504754,[None],[None]]]],[lambda x: x['F1'] > 0.7503538787905277,[lambda x: x['F2'] > 0.7583131134269648,[lambda x: x['F1'] > 0.55325160688468,[None],[None]],[lambda x: x['F5'] == 'D',[None],[None]]],[None]]] 
19;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 31, "max-depth": 5, "file": "generated_dataset_05000_1_50_4", "test-file": "generated_dataset_05000_1_50_4", "core-file": "generated_dataset_05000_1_50_4"};0.525506019592285;[lambda x: x['F4'] == 'Y',[lambda x: x['F1'] > 0.55325160688468,[lambda x: x['F4'] == 'Z',[None],[lambda x: x['F2'] > 0.45059424426013556,[None],[None]]],[lambda x: x['F1'] > 0.7503538787905277,[lambda x: x['F2'] > 0.05158163731066717,[None],[None]],[lambda x: x['F2'] > 0.15507211519504754,[None],[None]]]],[lambda x: x['F1'] > 0.7503538787905277,[lambda x: x['F2'] > 0.7583131134269648,[lambda x: x['F1'] > 0.55325160688468,[lambda x: x['F5'] == 'A',[None],[None]],[lambda x: x['F2'] > 0.05158163731066717,[None],[None]]],[lambda x: x['F5'] == 'D',[None],[None]]],[None]]]
