id;settings;time;results 
0;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/acath_partition_0", "test-file": "test/acath_partition_0"};38.8362028598785;[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_age'] > 55,[lambda x: x['num_choleste'] > 185,[None],[None]],[None]],[None]] 
1;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/acath_partition_1", "test-file": "test/acath_partition_1"};36.1506178379059;[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_age'] > 55,[lambda x: x['num_choleste'] > 236,[None],[None]],[None]],[None]] 
2;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/acath_partition_2", "test-file": "test/acath_partition_2"};35.439877986908;[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_age'] > 55,[None],[None]],[None]] 
3;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/acath_partition_3", "test-file": "test/acath_partition_3"};33.0880968570709;[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_age'] > 55,[lambda x: x['num_choleste'] > 240,[None],[None]],[None]],[lambda x: x['num_age'] > 56,[lambda x: x['num_choleste'] > 254,[None],[None]],[None]]] 
4;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/acath_partition_4", "test-file": "test/acath_partition_4"};33.6181869506836;[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_age'] > 54,[None],[None]],[None]] 
5;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Aids2_partition_0", "test-file": "test/Aids2_partition_0"};2.37513001362483;[lambda x: x['num_age'] > 50,[lambda x: x['fac_T_categ'] == 'het',[None],[None]],[None]] 
6;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Aids2_partition_1", "test-file": "test/Aids2_partition_1"};2.21782594919205;[lambda x: x['num_age'] > 49,[lambda x: x['fac_T_categ'] == 'het',[lambda x: x['fac_T_categ'] == 'id',[None],[None]],[None]],[None]] 
7;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Aids2_partition_2", "test-file": "test/Aids2_partition_2"};2.13895184993744;[lambda x: x['num_age'] > 49,[lambda x: x['fac_T_categ'] == 'het',[None],[None]],[None]] 
8;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Aids2_partition_3", "test-file": "test/Aids2_partition_3"};2.24534408251444;[lambda x: x['num_age'] > 49,[lambda x: x['fac_T_categ'] == 'het',[None],[None]],[None]] 
9;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Aids2_partition_4", "test-file": "test/Aids2_partition_4"};2.30345696608226;[lambda x: x['num_age'] > 49,[lambda x: x['fac_T_categ'] == 'id',[lambda x: x['fac_T_categ'] == 'het',[None],[None]],[None]],[None]] 
