id;settings;time;results 
0;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/acath_partition_0", "test-file": "test/acath_partition_0", "core-file": "acath"};55.3729619979858;[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_age'] > 55,[lambda x: x['num_choleste'] > 185,[None],[None]],[None]],[None]] 
1;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Aids2_partition_0", "test-file": "test/Aids2_partition_0", "core-file": "Aids2"};244.076531171799;[lambda x: x['num_age'] > 49,[lambda x: x['fac_T_categ'] == 'id',[lambda x: x['fac_T_categ'] == 'het',[None],[None]],[None]],[None]] 
2;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/csl_partition_0", "test-file": "test/csl_partition_0", "core-file": "csl"};81.4052340984344;[lambda x: x['num_prot'] > 55,[lambda x: x['num_prot'] > 22,[None],[None]],[lambda x: x['num_age'] > 3,[lambda x: x['num_prot'] > 72,[None],[None]],[lambda x: x['num_prot'] > 71,[None],[None]]]] 
3;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT1_partition_0", "test-file": "test/dataDIVAT1_partition_0", "core-file": "dataDIVAT1"};315.107534885406;[lambda x: x['fac_graft'] == 'No',[lambda x: x['num_ageR'] > 61.47465,[None],[None]],[lambda x: x['num_year_tx'] > 2002,[None],[lambda x: x['num_ageR'] > 55.22396,[lambda x: x['num_year_tx'] > 2006,[None],[None]],[None]]]] 
4;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT3_partition_0", "test-file": "test/dataDIVAT3_partition_0", "core-file": "dataDIVAT3"};263.744903802872;[lambda x: x['num_ageR'] > 56,[lambda x: x['fac_ante_diab'] == 'No',[None],[lambda x: x['num_year_tx'] > 2004,[None],[None]]],[None]] 
5;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Dialysis_partition_0", "test-file": "test/Dialysis_partition_0", "core-file": "Dialysis"};144.225181818008;[lambda x: x['num_age'] > 55,[lambda x: x['num_begin'] > 17,[lambda x: x['num_age'] > 42,[lambda x: x['num_begin'] > 5,[None],[None]],[None]],[lambda x: x['fac_disease'] == 'diabetes',[lambda x: x['num_begin'] > 37,[None],[None]],[None]]],[lambda x: x['num_age'] > 71,[lambda x: x['fac_disease'] == 'diabetes',[None],[lambda x: x['num_begin'] > 31,[None],[None]]],[lambda x: x['num_age'] > 85,[None],[None]]]] 
6;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/divorce_partition_0", "test-file": "test/divorce_partition_0", "core-file": "divorce"};475.247550010681;[lambda x: x['fac_heblack'] == 'No',[None],[lambda x: x['fac_heduc'] == '12-15',[None],[lambda x: x['fac_mixed'] == 'No',[None],[None]]]] 
7;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/flchain_partition_0", "test-file": "test/flchain_partition_0", "core-file": "flchain"};512.657063961029;[lambda x: x['fac_chapter'] == 'missing',[lambda x: x['num_kappa'] > 2.46,[lambda x: x['num_sample_yr'] > 1998,[lambda x: x['num_age'] > 83,[None],[None]],[None]],[None]],[lambda x: x['num_sample_yr'] > 1997,[lambda x: x['num_sample_yr'] > 1996,[lambda x: x['num_kappa'] > 1.96,[None],[None]],[None]],[lambda x: x['num_sample_yr'] > 1999,[lambda x: x['num_sample_yr'] > 1998,[None],[None]],[lambda x: x['num_sample_yr'] > 2000,[None],[None]]]]] 
8;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Framingham_partition_0", "test-file": "test/Framingham_partition_0", "core-file": "Framingham"};201.075211048126;[lambda x: x['num_age'] > 44,[lambda x: x['num_dbp'] > 89,[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_scl'] > 225,[None],[None]],[lambda x: x['num_sbp'] > 106,[None],[None]]],[lambda x: x['num_scl'] > 217,[None],[None]]],[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_scl'] > 222,[None],[None]],[lambda x: x['num_sbp'] > 158,[lambda x: x['num_age'] > 57,[None],[None]],[None]]]] 
9;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/hdfail_partition_0", "test-file": "test/hdfail_partition_0", "core-file": "hdfail"};600.0;[None]
10;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/nwtco_partition_0", "test-file": "test/nwtco_partition_0", "core-file": "nwtco"};508.529641151428;[lambda x: x['fac_histol'] == 'Favourable',[lambda x: x['num_stage'] > 2,[lambda x: x['num_stage'] > 1,[lambda x: x['num_age'] > 11,[None],[None]],[None]],[lambda x: x['num_stage'] > 3,[None],[None]]],[lambda x: x['num_age'] > 38,[None],[lambda x: x['num_age'] > 84,[lambda x: x['num_stage'] > 1,[None],[None]],[None]]]] 
11;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/oldmort_partition_0", "test-file": "test/oldmort_partition_0", "core-file": "oldmort"};517.546426057816;[lambda x: x['num_birthdate'] > 1794.62686,[lambda x: x['num_birthdate'] > 1786.05173,[lambda x: x['fac_civ'] == 'married',[None],[None]],[lambda x: x['fac_civ'] == 'married',[lambda x: x['fac_region'] == 'town',[None],[None]],[None]]],[lambda x: x['fac_sex'] == 'female',[lambda x: x['fac_civ'] == 'married',[lambda x: x['num_birthdate'] > 1802.30121,[None],[None]],[lambda x: x['fac_region'] == 'rural',[None],[None]]],[None]]] 
12;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/prostateSurvival_partition_0", "test-file": "test/prostateSurvival_partition_0", "core-file": "prostateSurvival"};565.9251101017;[lambda x: x['fac_grade'] == 'mode',[lambda x: x['fac_stage'] == 'T1ab',[lambda x: x['fac_stage'] == 'T2',[None],[lambda x: x['fac_ageGroup'] == '80+',[None],[None]]],[None]],[lambda x: x['fac_ageGroup'] == '80+',[lambda x: x['fac_ageGroup'] == '75-79',[lambda x: x['fac_stage'] == 'T1ab',[None],[None]],[None]],[lambda x: x['fac_stage'] == 'T2',[None],[None]]]] 
13;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/rott2_partition_0", "test-file": "test/rott2_partition_0", "core-file": "rott2"};200.177742958069;[lambda x: x['num_nodes'] > 2,[lambda x: x['fac_tsize'] == '<=20mm',[lambda x: x['num_nodes'] > 0,[None],[lambda x: x['num_age'] > 61,[None],[None]]],[lambda x: x['fac_grade'] > 2,[None],[None]]],[lambda x: x['num_nodes'] > 4,[lambda x: x['fac_chemo'] == 'no',[None],[None]],[lambda x: x['fac_tsize'] == '>50mm',[None],[None]]]] 
14;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/UnempDur_partition_0", "test-file": "test/UnempDur_partition_0", "core-file": "UnempDur"};80.9110209941864;[lambda x: x['fac_ui'] == 'no',[lambda x: x['num_age'] > 47,[None],[None]],[lambda x: x['num_logwage'] > 5.24702,[None],[lambda x: x['num_disrate'] > 0.203,[None],[None]]]]
15;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/acath_partition_1", "test-file": "test/acath_partition_1", "core-file": "acath"};52.346;[lambda x: x['num_choleste'] < 260.5,[lambda x: x['num_age'] < 54.5,[None],[None]],[lambda x: x['fac_sex'] in ['M'],[None],[None]]]
16;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/acath_partition_2", "test-file": "test/acath_partition_2", "core-file": "acath"};47.184;[lambda x: x['fac_sex'] in ['M'],[lambda x: x['num_choleste'] < 239.5,[None],[None]],[lambda x: x['num_age'] < 55.5,[None],[None]]]
17;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/acath_partition_3", "test-file": "test/acath_partition_3", "core-file": "acath"};45.4;[lambda x: x['fac_sex'] in ['M'],[None],[lambda x: x['num_age'] < 55.5,[None],[None]]]
18;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/acath_partition_4", "test-file": "test/acath_partition_4", "core-file": "acath"};48.543;[lambda x: x['fac_sex'] in ['M'],[lambda x: x['num_age'] < 56.5,[lambda x: x['num_choleste'] < 164.0,[None],[None]],[lambda x: x['num_choleste'] < 239.5,[None],[None]]],[lambda x: x['num_age'] < 54.5,[None],[None]]]
19;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Aids2_partition_1", "test-file": "test/Aids2_partition_1", "core-file": "Aids2"};65.527;[lambda x: x['num_age'] < 31.5,[lambda x: x['fac_T_categ'] in ['het','hsid','hs'],[lambda x: x['fac_state'] in ['NSW','VIC','Other'],[None],[None]],[lambda x: x['num_age'] < 49.5,[None],[None]]],[lambda x: x['fac_T_categ'] in ['haem','blood','hsid','hs'],[None],[lambda x: x['num_age'] < 2.0,[None],[None]]]]
20;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Aids2_partition_2", "test-file": "test/Aids2_partition_2", "core-file": "Aids2"};63.251;[lambda x: x['num_age'] < 49.5,[None],[None]]
21;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Aids2_partition_3", "test-file": "test/Aids2_partition_3", "core-file": "Aids2"};67.915;[lambda x: x['num_age'] < 55.50000000000001,[None],[lambda x: x['fac_T_categ'] in ['haem','other','blood','hsid','hs'],[None],[None]]]
22;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Aids2_partition_4", "test-file": "test/Aids2_partition_4", "core-file": "Aids2"};71.632;[lambda x: x['num_age'] < 53.5,[None],[lambda x: x['num_age'] < 5.5,[lambda x: x['fac_T_categ'] in ['het','id','mother'],[None],[None]],[lambda x: x['fac_state'] in ['NSW'],[None],[None]]]]
23;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/csl_partition_1", "test-file": "test/csl_partition_1", "core-file": "csl"};9.87019419670105;[lambda x: x['num_prot'] > 47,[None],[lambda x: x['num_age'] > 2,[lambda x: x['num_prot'] > 66,[None],[None]],[lambda x: x['num_prot'] > 71,[None],[None]]]] 
24;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/csl_partition_2", "test-file": "test/csl_partition_2", "core-file": "csl"};9.34565091133118;[lambda x: x['num_prot'] > 48,[lambda x: x['num_prot'] > 24,[None],[None]],[lambda x: x['num_prot'] > 71,[lambda x: x['num_age'] > 2,[lambda x: x['fac_sex'] == 'F',[None],[None]],[None]],[lambda x: x['num_age'] > 11,[lambda x: x['num_prot_prev'] > 116,[None],[None]],[None]]]] 
25;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/csl_partition_3", "test-file": "test/csl_partition_3", "core-file": "csl"};9.52628421783447;[lambda x: x['num_prot'] > 47,[None],[lambda x: x['num_prot'] > 71,[lambda x: x['num_age'] > 2,[None],[None]],[lambda x: x['num_age'] > -1,[None],[None]]]] 
26;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/csl_partition_4", "test-file": "test/csl_partition_4", "core-file": "csl"};9.31324505805969;[lambda x: x['num_prot'] > 48,[lambda x: x['num_prot'] > 32,[lambda x: x['num_age'] > -3,[None],[None]],[None]],[lambda x: x['num_prot'] > 71,[lambda x: x['num_age'] > 2,[None],[None]],[lambda x: x['num_age'] > 2,[None],[None]]]] 
27;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT1_partition_1", "test-file": "test/dataDIVAT1_partition_1", "core-file": "dataDIVAT1"};56.0499420166016;[lambda x: x['fac_graft'] == 'No',[lambda x: x['num_ageR'] > 61.71832,[None],[None]],[lambda x: x['num_year_tx'] > 2005,[None],[lambda x: x['num_ageR'] > 64.05103,[None],[None]]]] 
