id;settings;time;results 
0;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_10_0", "test-file": "generated_dataset_50000_1_10_0", "core-file": "generated_dataset_00100_1_10_0"};27.0537819862366;[lambda x: x['F2'] > 0.15387,[None],[None]] 
1;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_50_0", "test-file": "generated_dataset_50000_1_50_0", "core-file": "generated_dataset_00100_1_50_0"};22.9980521202087;[None] 
2;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_80_0", "test-file": "generated_dataset_50000_1_80_0", "core-file": "generated_dataset_00100_1_80_0"};25.7528829574585;[None] 
3;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00200_1_10_0", "test-file": "generated_dataset_50000_1_10_0", "core-file": "generated_dataset_00200_1_10_0"};27.440819978714;[lambda x: x['F2'] > 0.66386,[None],[None]] 
4;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00200_1_50_0", "test-file": "generated_dataset_50000_1_50_0", "core-file": "generated_dataset_00200_1_50_0"};28.4505801200867;[None] 
5;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00200_1_80_0", "test-file": "generated_dataset_50000_1_80_0", "core-file": "generated_dataset_00200_1_80_0"};27.8346788883209;[None] 
6;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00500_1_10_0", "test-file": "generated_dataset_50000_1_10_0", "core-file": "generated_dataset_00500_1_10_0"};45.8069610595703;[lambda x: x['F2'] > 0.66386,[lambda x: x['F1'] > 0.6973,[None],[lambda x: x['F4'] == 'Y',[lambda x: x['F0'] > 0.83968,[None],[None]],[None]]],[lambda x: x['F1'] > 0.67285,[lambda x: x['F0'] > 0.84422,[None],[None]],[lambda x: x['F4'] == 'Y',[None],[None]]]] 
7;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00500_1_50_0", "test-file": "generated_dataset_50000_1_50_0", "core-file": "generated_dataset_00500_1_50_0"};52.893431186676;[None] 
8;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00500_1_80_0", "test-file": "generated_dataset_50000_1_80_0", "core-file": "generated_dataset_00500_1_80_0"};51.6793699264526;[None] 
9;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_01000_1_10_0", "test-file": "generated_dataset_50000_1_10_0", "core-file": "generated_dataset_01000_1_10_0"};74.2036159038546;[lambda x: x['F2'] > 0.66544,[lambda x: x['F1'] > 0.6973,[None],[lambda x: x['F4'] == 'Y',[lambda x: x['F0'] > 0.83968,[None],[None]],[None]]],[lambda x: x['F1'] > 0.67285,[lambda x: x['F0'] > 0.84507,[None],[None]],[lambda x: x['F4'] == 'Y',[None],[None]]]] 
10;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_01000_1_50_0", "test-file": "generated_dataset_50000_1_50_0", "core-file": "generated_dataset_01000_1_50_0"};112.087568998337;[lambda x: x['F2'] > 0.75612,[None],[None]] 
11;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_01000_1_80_0", "test-file": "generated_dataset_50000_1_80_0", "core-file": "generated_dataset_01000_1_80_0"};92.0055880546572;[lambda x: x['F2'] > 0.25141,[None],[None]] 
12;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_02000_1_10_0", "test-file": "generated_dataset_50000_1_10_0", "core-file": "generated_dataset_02000_1_10_0"};171.99654507637;[lambda x: x['F2'] > 0.66544,[lambda x: x['F1'] > 0.69597,[None],[lambda x: x['F4'] == 'Y',[lambda x: x['F0'] > 0.82296,[None],[None]],[None]]],[lambda x: x['F1'] > 0.67371,[lambda x: x['F0'] > 0.84924,[None],[None]],[lambda x: x['F4'] == 'Y',[None],[None]]]] 
13;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_02000_1_50_0", "test-file": "generated_dataset_50000_1_50_0", "core-file": "generated_dataset_02000_1_50_0"};359.688775062561;[lambda x: x['F2'] > 0.48958,[lambda x: x['F1'] > 0.74699,[None],[None]],[None]] 
14;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_02000_1_80_0", "test-file": "generated_dataset_50000_1_80_0", "core-file": "generated_dataset_02000_1_80_0"};319.835232019424;[lambda x: x['F2'] > 0.19563,[None],[None]] 
