id;settings;time;results 
0;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/acath_partition_0", "test-file": "test/acath_partition_0", "core-file": "acath"};40.5218229293823;[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_age'] > 55,[lambda x: x['num_choleste'] > 185,[None],[None]],[None]],[None]] 
1;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/acath_partition_1", "test-file": "test/acath_partition_1", "core-file": "acath"};1.1071396668752;[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_age'] > 55,[lambda x: x['num_choleste'] > 236,[None],[lambda x: x['num_age'] > 43,[None],[None]]],[None]],[lambda x: x['num_age'] > 56,[lambda x: x['num_choleste'] > 231,[None],[None]],[None]]] 
2;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/acath_partition_2", "test-file": "test/acath_partition_2", "core-file": "acath"};28.7040030956268;[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_age'] > 55,[None],[lambda x: x['num_choleste'] > 329,[None],[None]]],[lambda x: x['num_age'] > 40,[None],[None]]] 
3;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/acath_partition_3", "test-file": "test/acath_partition_3", "core-file": "acath"};26.9775819778442;[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_age'] > 55,[lambda x: x['num_choleste'] > 240,[None],[lambda x: x['num_age'] > 50,[None],[None]]],[lambda x: x['num_choleste'] > 260,[None],[lambda x: x['num_age'] > 63,[None],[None]]]],[lambda x: x['num_age'] > 56,[lambda x: x['num_choleste'] > 254,[None],[None]],[None]]] 
4;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/acath_partition_4", "test-file": "test/acath_partition_4", "core-file": "acath"};27.4595859050751;[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_age'] > 54,[lambda x: x['num_choleste'] > 236,[None],[None]],[None]],[lambda x: x['num_age'] > 56,[lambda x: x['num_choleste'] > 239,[None],[None]],[lambda x: x['num_choleste'] > 163,[None],[None]]]] 
5;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Aids2_partition_0", "test-file": "test/Aids2_partition_0", "core-file": "Aids2"};1.72304975191752;[lambda x: x['num_age'] > 49,[lambda x: x['fac_T_categ'] == 'id',[lambda x: x['fac_T_categ'] == 'het',[None],[None]],[None]],[None]] 
6;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Aids2_partition_1", "test-file": "test/Aids2_partition_1", "core-file": "Aids2"};1.4755415002505;[lambda x: x['num_age'] > 49,[lambda x: x['fac_T_categ'] == 'het',[lambda x: x['fac_T_categ'] == 'blood',[None],[None]],[None]],[None]] 
7;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Aids2_partition_2", "test-file": "test/Aids2_partition_2", "core-file": "Aids2"};1.61373916467031;[lambda x: x['num_age'] > 49,[lambda x: x['fac_T_categ'] == 'het',[None],[None]],[None]] 
8;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Aids2_partition_3", "test-file": "test/Aids2_partition_3", "core-file": "Aids2"};1.65754629770915;[lambda x: x['num_age'] > 55,[lambda x: x['fac_T_categ'] == 'het',[lambda x: x['fac_T_categ'] == 'id',[None],[lambda x: x['num_age'] > 30,[None],[None]]],[None]],[None]] 
9;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Aids2_partition_4", "test-file": "test/Aids2_partition_4", "core-file": "Aids2"};1.60844281514486;[lambda x: x['num_age'] > 49,[lambda x: x['fac_T_categ'] == 'het',[None],[None]],[None]] 
10;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/csl_partition_0", "test-file": "test/csl_partition_0", "core-file": "csl"};44.4774448871613;[lambda x: x['num_prot'] > 55,[lambda x: x['num_prot'] > 26,[None],[None]],[lambda x: x['num_age'] > -2,[lambda x: x['num_prot'] > 83,[None],[None]],[None]]] 
11;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/csl_partition_1", "test-file": "test/csl_partition_1", "core-file": "csl"};39.9276390075684;[lambda x: x['num_prot'] > 55,[lambda x: x['num_prot'] > 31,[lambda x: x['num_age'] > -3,[None],[None]],[None]],[lambda x: x['num_age'] > -5,[lambda x: x['num_prot'] > 69,[None],[None]],[lambda x: x['num_prot'] > 66,[None],[lambda x: x['num_age'] > 11,[None],[None]]]]] 
12;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/csl_partition_2", "test-file": "test/csl_partition_2", "core-file": "csl"};43.1815378665924;[lambda x: x['num_prot'] > 48,[None],[lambda x: x['num_prot'] > 71,[lambda x: x['num_age'] > 2,[None],[None]],[lambda x: x['num_age'] > -7,[lambda x: x['num_prot'] > 103,[None],[None]],[None]]]] 
13;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/csl_partition_3", "test-file": "test/csl_partition_3", "core-file": "csl"};40.9940831661224;[lambda x: x['num_prot'] > 47,[None],[lambda x: x['num_prot'] > 69,[lambda x: x['num_age'] > 2,[None],[None]],[lambda x: x['num_age'] > -1,[lambda x: x['num_prot'] > 108,[None],[None]],[None]]]] 
14;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/csl_partition_4", "test-file": "test/csl_partition_4", "core-file": "csl"};42.2546899318695;[lambda x: x['num_prot'] > 48,[None],[lambda x: x['num_prot'] > 71,[lambda x: x['num_age'] > 2,[None],[None]],[lambda x: x['num_age'] > -5,[lambda x: x['num_prot'] > 121,[None],[None]],[None]]]] 
15;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT1_partition_0", "test-file": "test/dataDIVAT1_partition_0", "core-file": "dataDIVAT1"};2.69555130004883;[lambda x: x['fac_graft'] == 'No',[lambda x: x['num_ageR'] > 61.47465,[None],[None]],[lambda x: x['num_year_tx'] > 2002,[None],[lambda x: x['num_ageR'] > 55.22396,[lambda x: x['num_year_tx'] > 2006,[None],[None]],[None]]]] 
16;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT1_partition_1", "test-file": "test/dataDIVAT1_partition_1", "core-file": "dataDIVAT1"};2.94306817054749;[lambda x: x['fac_graft'] == 'No',[lambda x: x['num_ageR'] > 61.71832,[None],[None]],[lambda x: x['num_year_tx'] > 2005,[None],[lambda x: x['num_ageR'] > 64.05103,[None],[None]]]] 
17;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT1_partition_2", "test-file": "test/dataDIVAT1_partition_2", "core-file": "dataDIVAT1"};2.86709761619568;[lambda x: x['fac_graft'] == 'No',[lambda x: x['num_ageR'] > 61.47465,[None],[None]],[lambda x: x['num_year_tx'] > 2004,[None],[lambda x: x['num_ageR'] > 63.85938,[lambda x: x['num_year_tx'] > 2010,[None],[None]],[None]]]] 
18;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT1_partition_3", "test-file": "test/dataDIVAT1_partition_3", "core-file": "dataDIVAT1"};3.05434373219808;[lambda x: x['fac_graft'] == 'No',[lambda x: x['num_ageR'] > 55.89749,[None],[None]],[lambda x: x['num_year_tx'] > 2002,[None],[lambda x: x['num_year_tx'] > 2005,[None],[lambda x: x['num_ageR'] > 64.56576,[None],[None]]]]] 
19;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT1_partition_4", "test-file": "test/dataDIVAT1_partition_4", "core-file": "dataDIVAT1"};3.49935563405355;[lambda x: x['fac_graft'] == 'No',[lambda x: x['num_ageR'] > 62.01676,[None],[None]],[lambda x: x['num_year_tx'] > 2002,[None],[lambda x: x['num_ageR'] > 63.92509,[lambda x: x['num_year_tx'] > 2005,[None],[None]],[None]]]] 
20;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT3_partition_0", "test-file": "test/dataDIVAT3_partition_0", "core-file": "dataDIVAT3"};2.98992159763972;[lambda x: x['num_ageR'] > 56,[lambda x: x['fac_ante_diab'] == 'No',[None],[lambda x: x['num_year_tx'] > 2004,[None],[None]]],[None]] 
21;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT3_partition_1", "test-file": "test/dataDIVAT3_partition_1", "core-file": "dataDIVAT3"};2.77712973356247;[lambda x: x['num_ageR'] > 56,[None],[None]] 
22;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT3_partition_2", "test-file": "test/dataDIVAT3_partition_2", "core-file": "dataDIVAT3"};3.34387833277384;[lambda x: x['num_ageR'] > 54,[None],[None]] 
23;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT3_partition_3", "test-file": "test/dataDIVAT3_partition_3", "core-file": "dataDIVAT3"};3.32514163255692;[lambda x: x['num_ageR'] > 57,[lambda x: x['fac_ante_diab'] == 'No',[None],[lambda x: x['num_year_tx'] > 2001,[None],[None]]],[lambda x: x['num_year_tx'] > 2002,[None],[None]]] 
24;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT3_partition_4", "test-file": "test/dataDIVAT3_partition_4", "core-file": "dataDIVAT3"};3.38401941458384;[lambda x: x['num_ageR'] > 58,[lambda x: x['num_ageR'] > 45,[lambda x: x['fac_ante_diab'] == 'No',[None],[lambda x: x['num_year_tx'] > 2002,[None],[None]]],[lambda x: x['fac_ante_diab'] == 'No',[None],[None]]],[lambda x: x['num_year_tx'] > 2002,[lambda x: x['num_ageR'] > 65,[None],[None]],[None]]] 
25;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Dialysis_partition_0", "test-file": "test/Dialysis_partition_0", "core-file": "Dialysis"};1.17754384676615;[lambda x: x['num_age'] > 55,[lambda x: x['num_begin'] > 17,[lambda x: x['num_age'] > 42,[lambda x: x['num_begin'] > 5,[None],[None]],[None]],[lambda x: x['fac_disease'] == 'diabetes',[lambda x: x['num_begin'] > 37,[None],[None]],[None]]],[lambda x: x['num_age'] > 71,[lambda x: x['fac_disease'] == 'diabetes',[None],[lambda x: x['num_begin'] > 31,[None],[None]]],[lambda x: x['num_age'] > 85,[None],[None]]]] 
26;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Dialysis_partition_1", "test-file": "test/Dialysis_partition_1", "core-file": "Dialysis"};1.20623883008957;[lambda x: x['num_age'] > 55,[lambda x: x['fac_disease'] == 'diabetes',[lambda x: x['num_begin'] > 23,[lambda x: x['num_age'] > 44,[None],[None]],[None]],[None]],[lambda x: x['num_age'] > 70,[None],[None]]] 
27;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Dialysis_partition_2", "test-file": "test/Dialysis_partition_2", "core-file": "Dialysis"};1.17135369777679;[lambda x: x['num_age'] > 55,[lambda x: x['num_age'] > 44,[lambda x: x['fac_disease'] == 'diabetes',[lambda x: x['num_begin'] > 13,[None],[None]],[None]],[None]],[lambda x: x['num_age'] > 64,[lambda x: x['fac_disease'] == 'diabetes',[None],[None]],[lambda x: x['num_age'] > 82,[None],[None]]]] 
28;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Dialysis_partition_3", "test-file": "test/Dialysis_partition_3", "core-file": "Dialysis"};1.18389216661453;[lambda x: x['num_age'] > 55,[lambda x: x['num_age'] > 41,[lambda x: x['num_begin'] > 8,[None],[lambda x: x['fac_disease'] == 'diabetes',[None],[None]]],[None]],[lambda x: x['num_age'] > 64,[None],[lambda x: x['num_age'] > 82,[None],[None]]]] 
29;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Dialysis_partition_4", "test-file": "test/Dialysis_partition_4", "core-file": "Dialysis"};1.20949581861496;[lambda x: x['num_age'] > 55,[lambda x: x['num_age'] > 44,[lambda x: x['num_begin'] > 13,[None],[lambda x: x['fac_disease'] == 'diabetes',[None],[None]]],[None]],[lambda x: x['num_age'] > 64,[lambda x: x['fac_disease'] == 'diabetes',[None],[None]],[lambda x: x['num_age'] > 85,[None],[None]]]] 
30;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/divorce_partition_0", "test-file": "test/divorce_partition_0", "core-file": "divorce"};3.27114531596502;[lambda x: x['fac_heblack'] == 'No',[None],[lambda x: x['fac_heduc'] == '12-15',[None],[lambda x: x['fac_mixed'] == 'No',[None],[None]]]] 
31;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/divorce_partition_1", "test-file": "test/divorce_partition_1", "core-file": "divorce"};4.39689473311106;[lambda x: x['fac_heduc'] == '12-15',[None],[None]] 
32;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/divorce_partition_2", "test-file": "test/divorce_partition_2", "core-file": "divorce"};4.92903981606166;[lambda x: x['fac_heduc'] == '12-15',[None],[lambda x: x['fac_mixed'] == 'No',[None],[lambda x: x['fac_heblack'] == 'No',[None],[None]]]] 
33;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/divorce_partition_3", "test-file": "test/divorce_partition_3", "core-file": "divorce"};3.13534659941991;[lambda x: x['fac_heduc'] == '12-15',[lambda x: x['fac_mixed'] == 'No',[None],[None]],[lambda x: x['fac_mixed'] == 'No',[None],[None]]] 
