id;settings;time;results 
0;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/generated_dataset_00100_1_10_0_partition_0", "test-file": "test/generated_dataset_00100_1_10_0_partition_0", "core-file": "generated_dataset_00100_1_10_0"};7.79115605354309;[None] 
1;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/generated_dataset_00100_1_10_0_partition_1", "test-file": "test/generated_dataset_00100_1_10_0_partition_1", "core-file": "generated_dataset_00100_1_10_0"};7.14772796630859;[None] 
2;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/generated_dataset_00100_1_10_0_partition_2", "test-file": "test/generated_dataset_00100_1_10_0_partition_2", "core-file": "generated_dataset_00100_1_10_0"};7.91445589065552;[None] 
3;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/generated_dataset_00100_1_10_0_partition_3", "test-file": "test/generated_dataset_00100_1_10_0_partition_3", "core-file": "generated_dataset_00100_1_10_0"};7.66469311714172;[None] 
4;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/generated_dataset_00100_1_10_0_partition_4", "test-file": "test/generated_dataset_00100_1_10_0_partition_4", "core-file": "generated_dataset_00100_1_10_0"};7.08986496925354;[None] 
5;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/generated_dataset_00100_1_10_1_partition_0", "test-file": "test/generated_dataset_00100_1_10_1_partition_0", "core-file": "generated_dataset_00100_1_10_1"};7.56317090988159;[None] 
6;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/generated_dataset_00100_1_10_1_partition_1", "test-file": "test/generated_dataset_00100_1_10_1_partition_1", "core-file": "generated_dataset_00100_1_10_1"};7.43633389472961;[None] 
7;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/generated_dataset_00100_1_10_1_partition_2", "test-file": "test/generated_dataset_00100_1_10_1_partition_2", "core-file": "generated_dataset_00100_1_10_1"};7.56996393203735;[None] 
8;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/generated_dataset_00100_1_10_1_partition_3", "test-file": "test/generated_dataset_00100_1_10_1_partition_3", "core-file": "generated_dataset_00100_1_10_1"};7.90359401702881;[None] 
9;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/generated_dataset_00100_1_10_1_partition_4", "test-file": "test/generated_dataset_00100_1_10_1_partition_4", "core-file": "generated_dataset_00100_1_10_1"};7.140300989151;[None] 
10;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/generated_dataset_00100_1_10_2_partition_0", "test-file": "test/generated_dataset_00100_1_10_2_partition_0", "core-file": "generated_dataset_00100_1_10_2"};7.25475597381592;[lambda x: x['F0'] > 0.52042,[None],[None]] 
11;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/generated_dataset_00100_1_10_2_partition_1", "test-file": "test/generated_dataset_00100_1_10_2_partition_1", "core-file": "generated_dataset_00100_1_10_2"};7.55473113059998;[lambda x: x['F0'] > 0.47426,[None],[lambda x: x['F5'] == 'A',[None],[None]]] 
12;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/generated_dataset_00100_1_10_2_partition_2", "test-file": "test/generated_dataset_00100_1_10_2_partition_2", "core-file": "generated_dataset_00100_1_10_2"};7.72378706932068;[lambda x: x['F0'] > 0.54047,[None],[None]] 
13;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/generated_dataset_00100_1_10_2_partition_3", "test-file": "test/generated_dataset_00100_1_10_2_partition_3", "core-file": "generated_dataset_00100_1_10_2"};8.25829601287842;[lambda x: x['F0'] > 0.54047,[None],[None]] 
14;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/generated_dataset_00100_1_10_2_partition_4", "test-file": "test/generated_dataset_00100_1_10_2_partition_4", "core-file": "generated_dataset_00100_1_10_2"};7.11147999763489;[lambda x: x['F0'] > 0.62159,[None],[None]] 
15;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/generated_dataset_00100_1_10_3_partition_0", "test-file": "test/generated_dataset_00100_1_10_3_partition_0", "core-file": "generated_dataset_00100_1_10_3"};7.17590689659119;[None] 
16;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/generated_dataset_00100_1_10_3_partition_1", "test-file": "test/generated_dataset_00100_1_10_3_partition_1", "core-file": "generated_dataset_00100_1_10_3"};7.37038516998291;[None] 
17;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/generated_dataset_00100_1_10_3_partition_2", "test-file": "test/generated_dataset_00100_1_10_3_partition_2", "core-file": "generated_dataset_00100_1_10_3"};7.72570109367371;[None] 
18;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/generated_dataset_00100_1_10_3_partition_3", "test-file": "test/generated_dataset_00100_1_10_3_partition_3", "core-file": "generated_dataset_00100_1_10_3"};7.76220011711121;[None] 
19;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/generated_dataset_00100_1_10_3_partition_4", "test-file": "test/generated_dataset_00100_1_10_3_partition_4", "core-file": "generated_dataset_00100_1_10_3"};6.98331093788147;[None] 
20;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/generated_dataset_00100_1_10_4_partition_0", "test-file": "test/generated_dataset_00100_1_10_4_partition_0", "core-file": "generated_dataset_00100_1_10_4"};7.52976202964783;[None] 
