id;settings;time;results 
0;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 3, "max-depth": 2, "file": "generated_dataset_05000_1_50_0", "test-file": "generated_dataset_05000_1_50_0", "core-file": "generated_dataset_05000_1_50_0"};1.59976601600647;[lambda x: x['F3'] > 0,[None],[lambda x: x['F0'] > 0.5589,[None],[None]]] 
1;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "generated_dataset_05000_1_50_0", "test-file": "generated_dataset_05000_1_50_0", "core-file": "generated_dataset_05000_1_50_0"};0.452785015106201;[lambda x: x['F3'] > 0,[None],[lambda x: x['F0'] > 0.5589,[None],[None]]] 
2;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_05000_1_50_0", "test-file": "generated_dataset_05000_1_50_0", "core-file": "generated_dataset_05000_1_50_0"};0.547104835510254;[lambda x: x['F3'] > 0,[None],[lambda x: x['F0'] > 0.5589,[None],[None]]] 
3;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 31, "max-depth": 5, "file": "generated_dataset_05000_1_50_0", "test-file": "generated_dataset_05000_1_50_0", "core-file": "generated_dataset_05000_1_50_0"};0.457942962646484;[lambda x: x['F3'] > 0,[None],[lambda x: x['F0'] > 0.5589,[None],[None]]] 
4;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 3, "max-depth": 2, "file": "generated_dataset_05000_1_50_1", "test-file": "generated_dataset_05000_1_50_1", "core-file": "generated_dataset_05000_1_50_1"};0.360847949981689;[lambda x: x['F5'] == 'C',[lambda x: x['F1'] > 0.68837,[None],[None]],[lambda x: x['F1'] > 0.37193,[None],[None]]] 
5;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "generated_dataset_05000_1_50_1", "test-file": "generated_dataset_05000_1_50_1", "core-file": "generated_dataset_05000_1_50_1"};0.355606079101562;[lambda x: x['F5'] == 'C',[lambda x: x['F1'] > 0.68837,[lambda x: x['F4'] == 'Z',[None],[None]],[lambda x: x['F4'] == 'X',[None],[None]]],[lambda x: x['F1'] > 0.37193,[None],[lambda x: x['F1'] > 0.60989,[None],[None]]]] 
6;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_05000_1_50_1", "test-file": "generated_dataset_05000_1_50_1", "core-file": "generated_dataset_05000_1_50_1"};0.349460124969482;[lambda x: x['F5'] == 'C',[lambda x: x['F1'] > 0.68837,[lambda x: x['F4'] == 'Z',[lambda x: x['F1'] > 0.37349,[None],[None]],[None]],[lambda x: x['F4'] == 'X',[lambda x: x['F4'] == 'Z',[None],[None]],[None]]],[lambda x: x['F1'] > 0.37193,[None],[lambda x: x['F1'] > 0.60989,[lambda x: x['F4'] == 'Z',[None],[None]],[lambda x: x['F4'] == 'X',[None],[None]]]]] 
7;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 31, "max-depth": 5, "file": "generated_dataset_05000_1_50_1", "test-file": "generated_dataset_05000_1_50_1", "core-file": "generated_dataset_05000_1_50_1"};0.454133033752441;[lambda x: x['F5'] == 'C',[lambda x: x['F1'] > 0.68837,[lambda x: x['F4'] == 'Z',[lambda x: x['F1'] > 0.37349,[lambda x: x['F5'] == 'E',[None],[None]],[lambda x: x['F4'] == 'Y',[None],[None]]],[None]],[lambda x: x['F4'] == 'X',[lambda x: x['F4'] == 'Z',[lambda x: x['F0'] > 0.5771,[None],[None]],[None]],[None]]],[lambda x: x['F1'] > 0.37193,[None],[lambda x: x['F1'] > 0.60989,[lambda x: x['F4'] == 'Z',[None],[lambda x: x['F1'] > 0.4977,[None],[None]]],[lambda x: x['F4'] == 'X',[lambda x: x['F0'] > 0.57342,[None],[None]],[None]]]]] 
8;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 3, "max-depth": 2, "file": "generated_dataset_05000_1_50_2", "test-file": "generated_dataset_05000_1_50_2", "core-file": "generated_dataset_05000_1_50_2"};0.337843894958496;[lambda x: x['F3'] > 0,[lambda x: x['F1'] > 0.48501,[None],[None]],[lambda x: x['F1'] > 0.4976,[None],[None]]] 
9;{"hyper-tune": "0", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "generated_dataset_05000_1_50_2", "test-file": "generated_dataset_05000_1_50_2", "core-file": "generated_dataset_05000_1_50_2"};0.348325967788696;[lambda x: x['F3'] > 0,[lambda x: x['F1'] > 0.48501,[lambda x: x['F4'] == 'Y',[None],[None]],[lambda x: x['F4'] == 'Y',[None],[None]]],[lambda x: x['F1'] > 0.4976,[lambda x: x['F2'] > 0.16376,[None],[None]],[lambda x: x['F4'] == 'Y',[None],[None]]]] 
