id;settings;time;results 
0;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "acath", "test-file": "acath", "core-file": "acath"};0.0215029716491699;[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_age'] > 55,[lambda x: x['num_choleste'] > 190,[None],[None]],[None]],[lambda x: x['num_age'] > 56,[lambda x: x['num_choleste'] > 231,[None],[None]],[None]]] 
1;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "actg", "test-file": "actg", "core-file": "actg"};0.0403411388397217;[lambda x: x['num_cd4'] > 18.5,[lambda x: x['num_karnof'] > 80,[None],[None]],[lambda x: x['num_cd4'] > 85.5,[lambda x: x['num_karnof'] > 80,[None],[None]],[None]]] 
2;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "aids", "test-file": "aids", "core-file": "aids"};0.0177280902862549;[lambda x: x['num_CD4'] > 7.68115,[lambda x: x['fac_prevOI'] == 'AIDS',[lambda x: x['fac_drug'] == 'ddC',[None],[None]],[None]],[None]] 
3;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "Aids2", "test-file": "Aids2", "core-file": "Aids2"};0.0517439842224121;[lambda x: x['num_age'] > 49,[lambda x: x['fac_T_categ'] == 'het',[None],[None]],[None]] 
4;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "Bergamaschi", "test-file": "Bergamaschi", "core-file": "Bergamaschi"};0.00985598564147949;[None] 
5;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "breast", "test-file": "breast", "core-file": "breast"};0.010455846786499;[lambda x: x['fac_TumorStage'] == 'Favourable',[lambda x: x['fac_NodalStatus'] == 'Favourable',[None],[None]],[None]] 
6;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "burn", "test-file": "burn", "core-file": "burn"};0.00902509689331055;[None] 
7;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "cancer", "test-file": "cancer", "core-file": "cancer"};0.0109591484069824;[None] 
8;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "cgd", "test-file": "cgd", "core-file": "cgd"};0.0185179710388184;[lambda x: x['fac_treat'] == 'placebo',[None],[None]] 
9;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "colon", "test-file": "colon", "core-file": "colon"};0.0370500087738037;[lambda x: x['fac_node4'] == 'N',[None],[lambda x: x['num_nodes'] > 2,[lambda x: x['fac_adhere'] == 'N',[None],[None]],[None]]] 
10;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "cost", "test-file": "cost", "core-file": "cost"};0.041907787322998;[lambda x: x['num_age'] > 73,[lambda x: x['num_age'] > 51,[None],[lambda x: x['num_strokeScore'] > 51,[None],[None]]],[lambda x: x['num_strokeScore'] > 51,[lambda x: x['fac_sex'] == 'female',[None],[lambda x: x['num_age'] > 83,[None],[None]]],[None]]] 
11;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "csl", "test-file": "csl", "core-file": "csl"};0.0611441135406494;[lambda x: x['num_prot'] > 54,[lambda x: x['num_prot'] > 31,[None],[None]],[lambda x: x['num_prot'] > 71,[lambda x: x['num_age'] > 2,[None],[None]],[lambda x: x['num_age'] > -5,[lambda x: x['num_prot'] > 108,[None],[None]],[None]]]] 
12;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "d.oropha.rec", "test-file": "d.oropha.rec", "core-file": "d.oropha.rec"};0.0162398815155029;[lambda x: x['fac_cond'] > 1,[None],[None]] 
13;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "dataDIVAT1", "test-file": "dataDIVAT1", "core-file": "dataDIVAT1"};0.175583124160767;[lambda x: x['fac_graft'] == 'No',[lambda x: x['num_ageR'] > 61.47465,[None],[None]],[lambda x: x['fac_year_tx'] > 2002,[None],[lambda x: x['num_ageR'] > 64.05651,[lambda x: x['fac_year_tx'] > 2005,[None],[None]],[None]]]] 
14;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "dataDIVAT2", "test-file": "dataDIVAT2", "core-file": "dataDIVAT2"};0.041968822479248;[lambda x: x['fac_ecd'] > 0,[None],[None]] 
15;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "dataDIVAT3", "test-file": "dataDIVAT3", "core-file": "dataDIVAT3"};0.137928009033203;[lambda x: x['num_ageR'] > 56,[lambda x: x['num_ageR'] > 44,[lambda x: x['fac_ante_diab'] == 'No',[None],[lambda x: x['fac_year_tx'] > 2002,[None],[None]]],[None]],[lambda x: x['fac_year_tx'] > 2002,[lambda x: x['num_ageR'] > 65,[None],[None]],[None]]] 
16;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "diabetes", "test-file": "diabetes", "core-file": "diabetes"};0.0275280475616455;[lambda x: x['fac_treat'] == 'treated',[None],[lambda x: x['fac_trteye'] == 'left',[None],[None]]] 
17;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "Dialysis", "test-file": "Dialysis", "core-file": "Dialysis"};0.0604379177093506;[lambda x: x['num_age'] > 55,[lambda x: x['num_age'] > 44,[lambda x: x['num_begin'] > 13,[None],[lambda x: x['fac_disease'] == 'diabetes',[None],[None]]],[None]],[lambda x: x['num_age'] > 64,[lambda x: x['fac_disease'] == 'diabetes',[None],[None]],[lambda x: x['num_age'] > 82,[None],[None]]]] 
18;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "divorce", "test-file": "divorce", "core-file": "divorce"};0.120916843414307;[lambda x: x['fac_heduc'] == '12-15',[None],[lambda x: x['fac_mixed'] == 'No',[None],[None]]] 
19;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "e1684", "test-file": "e1684", "core-file": "e1684"};0.00939702987670898;[lambda x: x['fac_trt'] == 'Control',[None],[None]] 
20;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "epileptic", "test-file": "epileptic", "core-file": "epileptic"};0.017179012298584;[lambda x: x['num_dose'] > 0,[None],[lambda x: x['num_dose'] > 2.75,[None],[None]]] 
21;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "flchain", "test-file": "flchain", "core-file": "flchain"};0.269842863082886;[lambda x: x['fac_chapter'] == 'missing',[lambda x: x['num_kappa'] > 2.46,[lambda x: x['fac_sample_yr'] > 1997,[lambda x: x['num_age'] > 84,[None],[None]],[lambda x: x['fac_sample_yr'] > 1998,[None],[None]]],[lambda x: x['num_lambda'] > 4.04,[None],[None]]],[lambda x: x['fac_sample_yr'] > 1997,[lambda x: x['fac_sample_yr'] > 1996,[lambda x: x['num_kappa'] > 2.92,[None],[None]],[None]],[lambda x: x['fac_sample_yr'] > 1999,[lambda x: x['fac_sample_yr'] > 1998,[None],[None]],[lambda x: x['fac_sample_yr'] > 2000,[None],[None]]]]] 
22;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "follic", "test-file": "follic", "core-file": "follic"};0.0206420421600342;[lambda x: x['num_age'] > 57.6,[lambda x: x['num_age'] > 35.5,[None],[None]],[lambda x: x['fac_clinstg'] == 'I',[None],[lambda x: x['num_age'] > 68.9,[None],[None]]]] 
23;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "Framingham", "test-file": "Framingham", "core-file": "Framingham"};0.183526992797852;[lambda x: x['num_age'] > 44,[lambda x: x['num_scl'] > 227,[lambda x: x['fac_sex'] == 'F',[None],[lambda x: x['num_dbp'] > 74,[None],[None]]],[lambda x: x['num_dbp'] > 84,[lambda x: x['fac_sex'] == 'F',[None],[None]],[lambda x: x['num_scl'] > 313,[None],[None]]]],[lambda x: x['num_sbp'] > 166,[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_scl'] > 222,[None],[None]],[lambda x: x['num_scl'] > 218,[None],[None]]],[lambda x: x['num_sbp'] > 188,[None],[None]]]] 
24;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "FRTCS", "test-file": "FRTCS", "core-file": "FRTCS"};0.0364739894866943;[lambda x: x['fac_antihyp1'] == 'N',[lambda x: x['fac_sex'] == 'F',[None],[None]],[lambda x: x['fac_sex'] == 'F',[None],[lambda x: x['num_date1'] > 657,[lambda x: x['num_date0'] > 1282,[None],[None]],[None]]]] 
25;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "GBSG2", "test-file": "GBSG2", "core-file": "GBSG2"};0.028148889541626;[lambda x: x['num_pnodes'] > 3,[lambda x: x['fac_tgrade'] == 'I',[None],[None]],[lambda x: x['num_progrec'] > 20,[None],[None]]] 
26;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_10_0", "test-file": "generated_dataset_00100_1_10_0", "core-file": "generated_dataset_00100_1_10_0"};0.0208451747894287;[lambda x: x['F4'] == 'X',[lambda x: x['F5'] == 'E',[lambda x: x['F5'] == 'B',[None],[None]],[None]],[None]] 
27;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_10_1", "test-file": "generated_dataset_00100_1_10_1", "core-file": "generated_dataset_00100_1_10_1"};0.00923299789428711;[None] 
28;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_10_2", "test-file": "generated_dataset_00100_1_10_2", "core-file": "generated_dataset_00100_1_10_2"};0.00848698616027832;[None] 
29;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_10_3", "test-file": "generated_dataset_00100_1_10_3", "core-file": "generated_dataset_00100_1_10_3"};0.00871706008911133;[None] 
30;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_10_4", "test-file": "generated_dataset_00100_1_10_4", "core-file": "generated_dataset_00100_1_10_4"};0.0170919895172119;[lambda x: x['F3'] > 0,[None],[None]] 
31;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_50_0", "test-file": "generated_dataset_00100_1_50_0", "core-file": "generated_dataset_00100_1_50_0"};0.0203759670257568;[lambda x: x['F5'] == 'B',[lambda x: x['F1'] > 0.76497,[None],[None]],[None]] 
32;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_50_1", "test-file": "generated_dataset_00100_1_50_1", "core-file": "generated_dataset_00100_1_50_1"};0.00897002220153809;[None] 
33;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_50_2", "test-file": "generated_dataset_00100_1_50_2", "core-file": "generated_dataset_00100_1_50_2"};0.0152490139007568;[lambda x: x['F3'] > 0,[None],[None]] 
34;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_50_3", "test-file": "generated_dataset_00100_1_50_3", "core-file": "generated_dataset_00100_1_50_3"};0.0107171535491943;[None] 
35;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_50_4", "test-file": "generated_dataset_00100_1_50_4", "core-file": "generated_dataset_00100_1_50_4"};0.00972294807434082;[None] 
36;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_80_0", "test-file": "generated_dataset_00100_1_80_0", "core-file": "generated_dataset_00100_1_80_0"};0.00982809066772461;[None] 
37;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_80_1", "test-file": "generated_dataset_00100_1_80_1", "core-file": "generated_dataset_00100_1_80_1"};0.00931787490844727;[None] 
38;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_80_2", "test-file": "generated_dataset_00100_1_80_2", "core-file": "generated_dataset_00100_1_80_2"};0.0111789703369141;[None] 
39;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_80_3", "test-file": "generated_dataset_00100_1_80_3", "core-file": "generated_dataset_00100_1_80_3"};0.0106229782104492;[None] 
40;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_80_4", "test-file": "generated_dataset_00100_1_80_4", "core-file": "generated_dataset_00100_1_80_4"};0.0103180408477783;[None] 
