id;settings;time;tree
0;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/acath_partition_0", "test-file": "test/acath_partition_0"};2.06;[lambda x: x['fac_sex'] in ['M'],[lambda x: x['num_age'] < 60.5,[lambda x: x['num_choleste'] < 164.0,[None],[None]],[lambda x: x['num_choleste'] < 237.0,[None],[None]]],[lambda x: x['num_age'] < 54.5,[lambda x: x['num_choleste'] < 171.5,[None],[None]],[lambda x: x['num_choleste'] < 185.5,[None],[None]]]]
1;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/acath_partition_1", "test-file": "test/acath_partition_1"};2.259;[lambda x: x['fac_sex'] in ['M'],[lambda x: x['num_age'] < 55.5,[lambda x: x['num_choleste'] < 143.0,[None],[None]],[lambda x: x['num_choleste'] < 237.0,[None],[None]]],[lambda x: x['num_age'] < 43.5,[lambda x: x['num_age'] < 55.5,[None],[None]],[lambda x: x['num_choleste'] < 233.5,[None],[None]]]]
2;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/acath_partition_2", "test-file": "test/acath_partition_2"};2.262;[lambda x: x['num_choleste'] < 239.5,[lambda x: x['num_age'] < 53.5,[lambda x: x['num_choleste'] < 249.49999999999997,[None],[None]],[lambda x: x['num_age'] < 43.5,[None],[None]]],[lambda x: x['fac_sex'] in ['M'],[lambda x: x['num_choleste'] < 136.0,[None],[None]],[lambda x: x['num_age'] < 55.5,[None],[None]]]]
3;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/acath_partition_3", "test-file": "test/acath_partition_3"};1.783;[lambda x: x['fac_sex'] in ['M'],[lambda x: x['num_choleste'] < 236.5,[lambda x: x['num_age'] < 52.5,[None],[None]],[lambda x: x['num_choleste'] < 136.0,[None],[None]]],[lambda x: x['num_age'] < 42.5,[lambda x: x['num_age'] < 55.5,[None],[None]],[lambda x: x['num_choleste'] < 297.0,[None],[None]]]]
4;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/acath_partition_4", "test-file": "test/acath_partition_4"};1.792;[lambda x: x['num_age'] < 56.5,[lambda x: x['fac_sex'] in ['F'],[lambda x: x['num_choleste'] < 175.50000000000003,[None],[None]],[lambda x: x['num_choleste'] < 164.0,[None],[None]]],[lambda x: x['num_choleste'] < 236.5,[lambda x: x['num_age'] < 43.5,[None],[None]],[lambda x: x['fac_sex'] in ['M'],[None],[None]]]]
5;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Aids2_partition_0", "test-file": "test/Aids2_partition_0"};2.474;[lambda x: x['fac_T_categ'] in ['haem','het','other','id','mother','hsid','hs'],[lambda x: x['num_age'] < 21.5,[lambda x: x['fac_sex'] in ['M'],[None],[None]],[lambda x: x['fac_state'] in ['NSW','VIC'],[None],[None]]],[lambda x: x['fac_sex'] in ['F'],[lambda x: x['num_age'] < 50.5,[None],[None]],[lambda x: x['num_age'] < 3.4999999999999996,[None],[None]]]]
6;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Aids2_partition_1", "test-file": "test/Aids2_partition_1"};3.04;[lambda x: x['fac_T_categ'] in ['haem','het','other','id','hsid','hs'],[lambda x: x['num_age'] < 8.5,[lambda x: x['num_age'] < 14.0,[None],[None]],[lambda x: x['num_age'] < 2.0,[None],[None]]],[lambda x: x['fac_T_categ'] in ['haem','blood','mother','hsid','hs'],[lambda x: x['num_age'] < 31.000000000000004,[None],[None]],[lambda x: x['num_age'] < 61.5,[None],[None]]]]
7;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Aids2_partition_2", "test-file": "test/Aids2_partition_2"};3.438;[lambda x: x['num_age'] < 32.5,[lambda x: x['num_age'] < 55.50000000000001,[lambda x: x['fac_state'] in ['QLD'],[None],[None]],[lambda x: x['fac_T_categ'] in ['haem','other','id','blood','mother','hs'],[None],[None]]],[lambda x: x['num_age'] < 5.5,[lambda x: x['fac_T_categ'] in ['het','id','mother'],[None],[None]],[lambda x: x['fac_state'] in ['NSW'],[None],[None]]]]
8;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Aids2_partition_3", "test-file": "test/Aids2_partition_3"};3.35;[lambda x: x['num_age'] < 48.5,[lambda x: x['fac_state'] in ['NSW','VIC'],[lambda x: x['fac_T_categ'] in ['id','blood','mother'],[None],[None]],[lambda x: x['num_age'] < 76.0,[None],[None]]],[lambda x: x['num_age'] < 5.5,[lambda x: x['fac_T_categ'] in ['haem','other','blood','hsid','hs'],[None],[None]],[lambda x: x['fac_state'] in ['NSW'],[None],[None]]]]
9;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Aids2_partition_4", "test-file": "test/Aids2_partition_4"};4.327;[lambda x: x['num_age'] < 31.5,[lambda x: x['fac_T_categ'] in ['other','id','mother','hs'],[lambda x: x['num_age'] < 54.5,[None],[None]],[lambda x: x['num_age'] < 49.5,[None],[None]]],[lambda x: x['num_age'] < 25.5,[lambda x: x['fac_T_categ'] in ['het','id','mother'],[None],[None]],[lambda x: x['num_age'] < 0.5,[None],[None]]]]
