id;settings;time;tree
0;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 3, "max-depth": 2, "file": "generated_dataset_05000_1_50_0", "test-file": "generated_dataset_05000_1_50_0", "core-file": "generated_dataset_05000_1_50_0"};13.692;[lambda x: x['F5'] == 'D',[lambda x: x['F2'] > 0.45224893310852604,[None],[None]],[lambda x: x['F4'] == 'Z',[None],[None]]]
1;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "generated_dataset_05000_1_50_0", "test-file": "generated_dataset_05000_1_50_0", "core-file": "generated_dataset_05000_1_50_0"};27.688;[lambda x: x['F5'] == 'D',[lambda x: x['F2'] > 0.45224893310852604,[lambda x: x['F5'] == 'A',[None],[None]],[lambda x: x['F1'] > 0.8541097790254786,[None],[None]]],[lambda x: x['F4'] == 'Z',[lambda x: x['F0'] > 0.4461559041081449,[None],[None]],[lambda x: x['F2'] > 0.14716220839835376,[None],[None]]]]
2;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_05000_1_50_0", "test-file": "generated_dataset_05000_1_50_0", "core-file": "generated_dataset_05000_1_50_0"};42.281;[lambda x: x['F5'] == 'D',[lambda x: x['F2'] > 0.45224893310852604,[lambda x: x['F5'] == 'A',[lambda x: x['F2'] > 0.348242732742369,[None],[None]],[lambda x: x['F0'] > 0.2523845241944757,[None],[None]]],[lambda x: x['F1'] > 0.8541097790254786,[lambda x: x['F1'] > 0.6375287204351661,[None],[None]],[lambda x: x['F4'] == 'Y',[None],[None]]]],[lambda x: x['F4'] == 'Z',[lambda x: x['F0'] > 0.4461559041081449,[lambda x: x['F2'] > 0.24997615239795423,[None],[None]],[lambda x: x['F2'] > 0.14716220839835376,[None],[None]]],[lambda x: x['F2'] > 0.14716220839835376,[lambda x: x['F2'] > 0.049548037360168884,[None],[None]],[lambda x: x['F1'] > 0.4451652853309516,[None],[None]]]]]
3;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 31, "max-depth": 5, "file": "generated_dataset_05000_1_50_0", "test-file": "generated_dataset_05000_1_50_0", "core-file": "generated_dataset_05000_1_50_0"};61.438;[lambda x: x['F2'] > 0.45224893310852604,[lambda x: x['F5'] == 'D',[lambda x: x['F2'] > 0.348242732742369,[lambda x: x['F5'] == 'A',[lambda x: x['F2'] > 0.14716220839835376,[None],[None]],[lambda x: x['F0'] > 0.2523845241944757,[None],[None]]],[lambda x: x['F0'] > 0.5457394203724222,[lambda x: x['F3'] < 0.5,[None],[None]],[lambda x: x['F5'] == 'A',[None],[None]]]],[lambda x: x['F4'] == 'Z',[lambda x: x['F2'] > 0.14716220839835376,[lambda x: x['F1'] > 0.5400079172307368,[None],[None]],[lambda x: x['F0'] > 0.4461559041081449,[None],[None]]],[lambda x: x['F1'] > 0.05119331242134323,[lambda x: x['F0'] > 0.2523845241944757,[None],[None]],[lambda x: x['F2'] > 0.14716220839835376,[None],[None]]]]],[lambda x: x['F5'] == 'E',[lambda x: x['F5'] == 'D',[lambda x: x['F4'] == 'Y',[lambda x: x['F1'] > 0.8541097790254786,[None],[None]],[lambda x: x['F1'] > 0.8541097790254786,[None],[None]]],[lambda x: x['F4'] == 'Z',[lambda x: x['F0'] > 0.4461559041081449,[None],[None]],[lambda x: x['F1'] > 0.14517027052634152,[None],[None]]]],[lambda x: x['F2'] > 0.6527337253673364,[lambda x: x['F1'] > 0.3484271184180136,[lambda x: x['F0'] > 0.5457394203724222,[None],[None]],[lambda x: x['F1'] > 0.9532045451189226,[None],[None]]],[lambda x: x['F4'] == 'Y',[lambda x: x['F1'] > 0.05119331242134323,[None],[None]],[lambda x: x['F1'] > 0.8541097790254786,[None],[None]]]]]]
4;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 3, "max-depth": 2, "file": "generated_dataset_05000_1_50_1", "test-file": "generated_dataset_05000_1_50_1", "core-file": "generated_dataset_05000_1_50_1"};22.376;[lambda x: x['F4'] == 'X',[lambda x: x['F2'] > 0.45503404715426893,[None],[None]],[lambda x: x['F1'] > 0.2562077819457139,[None],[None]]]
5;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "generated_dataset_05000_1_50_1", "test-file": "generated_dataset_05000_1_50_1", "core-file": "generated_dataset_05000_1_50_1"};39.446;[lambda x: x['F1'] > 0.44637388125052413,[lambda x: x['F1'] > 0.2562077819457139,[lambda x: x['F3'] < 0.5,[None],[None]],[lambda x: x['F4'] == 'X',[None],[None]]],[lambda x: x['F2'] > 0.5505046393701181,[lambda x: x['F2'] > 0.15475984385120517,[None],[None]],[lambda x: x['F4'] == 'X',[None],[None]]]]
6;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_05000_1_50_1", "test-file": "generated_dataset_05000_1_50_1", "core-file": "generated_dataset_05000_1_50_1"};44.877;[lambda x: x['F2'] > 0.45503404715426893,[lambda x: x['F1'] > 0.44637388125052413,[lambda x: x['F1'] > 0.2562077819457139,[lambda x: x['F3'] < 0.5,[None],[None]],[lambda x: x['F4'] == 'X',[None],[None]]],[lambda x: x['F2'] > 0.35519557947409597,[lambda x: x['F2'] > 0.15475984385120517,[None],[None]],[lambda x: x['F1'] > 0.8468460132270055,[None],[None]]]],[lambda x: x['F5'] == 'D',[lambda x: x['F4'] == 'X',[lambda x: x['F1'] > 0.44637388125052413,[None],[None]],[lambda x: x['F1'] > 0.2562077819457139,[None],[None]]],[lambda x: x['F1'] > 0.44637388125052413,[lambda x: x['F4'] == 'Z',[None],[None]],[lambda x: x['F3'] < 0.5,[None],[None]]]]]
7;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 31, "max-depth": 5, "file": "generated_dataset_05000_1_50_1", "test-file": "generated_dataset_05000_1_50_1", "core-file": "generated_dataset_05000_1_50_1"};105.17;[lambda x: x['F1'] > 0.5480285959384626,[lambda x: x['F4'] == 'X',[lambda x: x['F1'] > 0.44637388125052413,[lambda x: x['F1'] > 0.2562077819457139,[lambda x: x['F3'] < 0.5,[None],[None]],[lambda x: x['F5'] == 'B',[None],[None]]],[lambda x: x['F2'] > 0.5505046393701181,[lambda x: x['F2'] > 0.15475984385120517,[None],[None]],[lambda x: x['F5'] == 'D',[None],[None]]]],[lambda x: x['F1'] > 0.2562077819457139,[lambda x: x['F3'] < 0.5,[lambda x: x['F5'] == 'A',[None],[None]],[lambda x: x['F5'] == 'B',[None],[None]]],[lambda x: x['F2'] > 0.15475984385120517,[lambda x: x['F1'] > 0.44637388125052413,[None],[None]],[lambda x: x['F1'] > 0.44637388125052413,[None],[None]]]]],[lambda x: x['F2'] > 0.45503404715426893,[lambda x: x['F2'] > 0.15475984385120517,[lambda x: x['F5'] == 'D',[lambda x: x['F0'] > 0.05302246412313727,[None],[None]],[lambda x: x['F0'] > 0.05302246412313727,[None],[None]]],[lambda x: x['F2'] > 0.35519557947409597,[lambda x: x['F0'] > 0.8595623270256275,[None],[None]],[lambda x: x['F1'] > 0.8468460132270055,[None],[None]]]],[lambda x: x['F5'] == 'D',[lambda x: x['F4'] == 'Y',[lambda x: x['F4'] == 'X',[None],[None]],[lambda x: x['F2'] > 0.5505046393701181,[None],[None]]],[lambda x: x['F1'] > 0.8468460132270055,[lambda x: x['F3'] < 0.5,[None],[None]],[lambda x: x['F0'] > 0.46420305127686023,[None],[None]]]]]]
8;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 3, "max-depth": 2, "file": "generated_dataset_05000_1_50_2", "test-file": "generated_dataset_05000_1_50_2", "core-file": "generated_dataset_05000_1_50_2"};12.179;[lambda x: x['F0'] > 0.4464999650775251,[lambda x: x['F5'] == 'E',[None],[None]],[lambda x: x['F4'] == 'X',[None],[None]]]
9;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "generated_dataset_05000_1_50_2", "test-file": "generated_dataset_05000_1_50_2", "core-file": "generated_dataset_05000_1_50_2"};24.173;[lambda x: x['F0'] > 0.4464999650775251,[lambda x: x['F5'] == 'E',[lambda x: x['F1'] > 0.349192553677365,[None],[None]],[lambda x: x['F4'] == 'Y',[None],[None]]],[lambda x: x['F4'] == 'X',[lambda x: x['F5'] == 'A',[None],[None]],[lambda x: x['F2'] > 0.8470773274238627,[None],[None]]]]
