id;settings;time;tree
0;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/acath_partition_0", "test-file": "test/acath_partition_0", "core-file": "acath"};30.11;[lambda x: x['fac_sex'] in ['M'],[None],[lambda x: x['num_age'] < 54.5,[None],[None]]]
1;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/acath_partition_1", "test-file": "test/acath_partition_1", "core-file": "acath"};26.977;[lambda x: x['fac_sex'] in ['M'],[None],[None]]
2;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/acath_partition_2", "test-file": "test/acath_partition_2", "core-file": "acath"};32.156;[lambda x: x['fac_sex'] in ['M'],[lambda x: x['num_choleste'] < 239.5,[None],[None]],[lambda x: x['num_age'] < 55.5,[None],[None]]]
3;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/acath_partition_3", "test-file": "test/acath_partition_3", "core-file": "acath"};27.467;[lambda x: x['fac_sex'] in ['M'],[None],[lambda x: x['num_age'] < 55.5,[None],[None]]]
4;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/acath_partition_4", "test-file": "test/acath_partition_4", "core-file": "acath"};28.478;[lambda x: x['fac_sex'] in ['M'],[lambda x: x['num_age'] < 56.5,[lambda x: x['num_choleste'] < 164.0,[None],[None]],[lambda x: x['num_choleste'] < 239.5,[None],[None]]],[lambda x: x['num_age'] < 54.5,[None],[None]]]
5;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Aids2_partition_0", "test-file": "test/Aids2_partition_0", "core-file": "Aids2"};43.983;[lambda x: x['num_age'] < 50.5,[None],[None]]
6;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Aids2_partition_1", "test-file": "test/Aids2_partition_1", "core-file": "Aids2"};70.503;[lambda x: x['num_age'] < 31.5,[lambda x: x['fac_T_categ'] in ['het','hsid','hs'],[lambda x: x['fac_state'] in ['NSW','VIC','Other'],[None],[None]],[lambda x: x['num_age'] < 49.5,[None],[None]]],[lambda x: x['fac_T_categ'] in ['haem','blood','hsid','hs'],[None],[lambda x: x['num_age'] < 2.0,[None],[None]]]]
7;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Aids2_partition_2", "test-file": "test/Aids2_partition_2", "core-file": "Aids2"};73.576;[lambda x: x['num_age'] < 49.5,[None],[None]]
8;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Aids2_partition_3", "test-file": "test/Aids2_partition_3", "core-file": "Aids2"};75.398;[lambda x: x['num_age'] < 55.50000000000001,[None],[None]]
9;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/Aids2_partition_4", "test-file": "test/Aids2_partition_4", "core-file": "Aids2"};309.687;[lambda x: x['num_age'] < 53.5,[None],[lambda x: x['num_age'] < 5.5,[lambda x: x['fac_T_categ'] in ['het','id','mother'],[None],[None]],[lambda x: x['fac_state'] in ['NSW'],[None],[None]]]]
10;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/csl_partition_0", "test-file": "test/csl_partition_0", "core-file": "csl"};37.726;[lambda x: x['num_prot'] < 55.49999999999999,[lambda x: x['num_prot'] < 71.5,[lambda x: x['num_age'] < -6.500000000000007,[None],[None]],[lambda x: x['num_age'] < 4.5,[None],[None]]],[lambda x: x['num_prot'] < 23.5,[lambda x: x['num_age'] < -15.5,[None],[None]],[lambda x: x['num_prot_prev'] < 56.50000000000001,[None],[None]]]]
11;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "train/csl_partition_1", "test-file": "test/csl_partition_1", "core-file": "csl"};37.26;[lambda x: x['num_prot'] < 55.49999999999999,[lambda x: x['num_age'] < 2.5,[None],[None]],[lambda x: x['num_prot'] < 24.5,[None],[None]]]
