id;settings;time;tree
0;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/acath_partition_0", "test-file": "test/acath_partition_0", "core-file": "acath"};76.403;[lambda x: x['fac_sex'] in ['M'],[None],[lambda x: x['num_age'] < 54.5,[None],[None]]]
1;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Aids2_partition_0", "test-file": "test/Aids2_partition_0", "core-file": "Aids2"};104.016;[lambda x: x['num_age'] < 50.5,[None],[None]]
2;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/csl_partition_0", "test-file": "test/csl_partition_0", "core-file": "csl"};162.921;[lambda x: x['num_prot'] < 55.49999999999999,[lambda x: x['num_prot'] < 71.5,[lambda x: x['num_age'] < -6.500000000000007,[None],[None]],[lambda x: x['num_age'] < 4.5,[None],[None]]],[lambda x: x['num_prot'] < 23.5,[lambda x: x['num_age'] < -15.5,[None],[None]],[lambda x: x['num_prot_prev'] < 56.50000000000001,[None],[None]]]]
3;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT1_partition_0", "test-file": "test/dataDIVAT1_partition_0", "core-file": "dataDIVAT1"};228.396;[lambda x: x['num_ageR'] < 73.0382762019494,[None],[lambda x: x['fac_graft'] in ['Yes'],[lambda x: x['num_ageR'] < 55.53471689847771,[None],[None]],[lambda x: x['num_ageR'] < 60.21793888949732,[None],[None]]]]
4;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT3_partition_0", "test-file": "test/dataDIVAT3_partition_0", "core-file": "dataDIVAT3"};331.099;[lambda x: x['num_ageR'] < 56.5,[None],[None]]
5;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Dialysis_partition_0", "test-file": "test/Dialysis_partition_0", "core-file": "Dialysis"};185.285;[lambda x: x['fac_center'] < 829.9999999999999,[lambda x: x['fac_center'] < 1265.5,[lambda x: x['num_age'] < 55.5,[lambda x: x['num_age'] < 71.5,[None],[None]],[lambda x: x['num_age'] < 44.5,[None],[None]]],[lambda x: x['fac_center'] < 1129.5,[lambda x: x['num_begin'] < 33.5,[None],[None]],[lambda x: x['num_age'] < 50.49999999999999,[None],[None]]]],[lambda x: x['num_age'] < 59.50000000000001,[lambda x: x['fac_center'] < 124.0,[None],[None]],[lambda x: x['fac_center'] < 124.0,[lambda x: x['fac_center'] < 691.0,[None],[None]],[None]]]]
6;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/divorce_partition_0", "test-file": "test/divorce_partition_0", "core-file": "divorce"};90.296;[lambda x: x['fac_heblack'] in ['Yes'],[lambda x: x['fac_heduc'] in ['12-15'],[None],[None]],[lambda x: x['fac_heduc'] in ['12-15','16+'],[None],[None]]]
7;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/flchain_partition_0", "test-file": "test/flchain_partition_0", "core-file": "flchain"};477.371;[lambda x: x['fac_chapter'] in ['missing'],[lambda x: x['fac_chapter'] in ['Injury and Poisoning'],[lambda x: x['num_kappa'] < 2.465,[None],[None]],[None]],[None]]
8;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Framingham_partition_0", "test-file": "test/Framingham_partition_0", "core-file": "Framingham"};447.596;[lambda x: x['num_age'] < 47.5,[lambda x: x['num_sbp'] < 166.5,[None],[lambda x: x['fac_sex'] in ['M'],[None],[None]]],[lambda x: x['num_dbp'] < 84.5,[lambda x: x['num_scl'] < 223.5,[None],[None]],[lambda x: x['fac_sex'] in ['M'],[None],[None]]]]
9;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/hdfail_partition_0", "test-file": "test/hdfail_partition_0", "core-file": "hdfail"};600.0;[None]
10;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/nwtco_partition_0", "test-file": "test/nwtco_partition_0", "core-file": "nwtco"};286.527;[lambda x: x['num_stage'] < 1.5,[lambda x: x['fac_histol'] in ['Unfavourable'],[lambda x: x['num_age'] < 39.5,[None],[None]],[lambda x: x['num_age'] < 7.5,[None],[None]]],[lambda x: x['num_age'] < 20.5,[None],[lambda x: x['fac_histol'] in ['Unfavourable'],[None],[None]]]]
11;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/oldmort_partition_0", "test-file": "test/oldmort_partition_0", "core-file": "oldmort"};1077.264;[lambda x: x['num_birthdate'] < 1794.307891332471,[lambda x: x['num_birthdate'] < 1804.4052923742445,[lambda x: x['fac_sex'] in ['male'],[lambda x: x['num_imr_birth'] < 14.208972505,[None],[None]],[lambda x: x['num_imr_birth'] < 20.55921053000001,[None],[None]]],[lambda x: x['num_imr_birth'] < 17.737727975,[lambda x: x['fac_birthplace'] in ['parish'],[None],[None]],[lambda x: x['fac_civ'] in ['married'],[None],[None]]]],[lambda x: x['num_birthdate'] < 1785.510996119017,[lambda x: x['fac_region'] in ['industry','rural'],[None],[lambda x: x['fac_civ'] in ['married'],[None],[None]]],[lambda x: x['num_birthdate'] < 1779.0837594201112,[lambda x: x['num_birthdate'] < 1779.6600888450823,[None],[None]],[None]]]]
12;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/prostateSurvival_partition_0", "test-file": "test/prostateSurvival_partition_0", "core-file": "prostateSurvival"};198.856;[lambda x: x['fac_grade'] in ['poor'],[lambda x: x['fac_ageGroup'] in ['70-74','66-69','75-79'],[lambda x: x['fac_stage'] in ['T1c','T1ab'],[None],[None]],[lambda x: x['fac_stage'] in ['T1ab'],[lambda x: x['fac_ageGroup'] in ['70-74','66-69'],[None],[None]],[lambda x: x['fac_ageGroup'] in ['70-74','66-69'],[None],[None]]]],[lambda x: x['fac_ageGroup'] in ['70-74','66-69'],[lambda x: x['fac_stage'] in ['T2','T1ab'],[None],[lambda x: x['fac_stage'] in ['T1c','T1ab'],[None],[None]]],[lambda x: x['fac_ageGroup'] in ['66-69'],[lambda x: x['fac_stage'] in ['T1ab'],[None],[None]],[lambda x: x['fac_stage'] in ['T2','T1ab'],[None],[None]]]]]
13;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/rott2_partition_0", "test-file": "test/rott2_partition_0", "core-file": "rott2"};228.644;[lambda x: x['num_nodes'] < 1.4999999999999998,[lambda x: x['num_nodes'] < 5.5,[lambda x: x['num_progesterone'] < 63.5,[None],[None]],[lambda x: x['num_age'] < 73.5,[None],[None]]],[lambda x: x['num_age'] < 66.5,[lambda x: x['num_nodes'] < 0.5,[None],[None]],[lambda x: x['fac_grade'] < 2.5,[None],[None]]]]
14;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/UnempDur_partition_0", "test-file": "test/UnempDur_partition_0", "core-file": "UnempDur"};160.757;[lambda x: x['fac_ui'] in ['yes'],[lambda x: x['num_logwage'] < 5.305785,[None],[None]],[lambda x: x['num_age'] < 47.5,[None],[None]]]
15;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/acath_partition_1", "test-file": "test/acath_partition_1", "core-file": "acath"};50.915;[lambda x: x['num_choleste'] < 260.5,[lambda x: x['num_age'] < 54.5,[None],[None]],[lambda x: x['fac_sex'] in ['M'],[None],[None]]]
16;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/acath_partition_2", "test-file": "test/acath_partition_2", "core-file": "acath"};46.027;[lambda x: x['fac_sex'] in ['M'],[lambda x: x['num_choleste'] < 239.5,[None],[None]],[lambda x: x['num_age'] < 55.5,[None],[None]]]
17;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/acath_partition_3", "test-file": "test/acath_partition_3", "core-file": "acath"};44.731;[lambda x: x['fac_sex'] in ['M'],[None],[lambda x: x['num_age'] < 55.5,[None],[None]]]
18;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/acath_partition_4", "test-file": "test/acath_partition_4", "core-file": "acath"};48.96;[lambda x: x['fac_sex'] in ['M'],[lambda x: x['num_age'] < 56.5,[lambda x: x['num_choleste'] < 164.0,[None],[None]],[lambda x: x['num_choleste'] < 239.5,[None],[None]]],[lambda x: x['num_age'] < 54.5,[None],[None]]]
19;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Aids2_partition_1", "test-file": "test/Aids2_partition_1", "core-file": "Aids2"};67.445;[lambda x: x['num_age'] < 31.5,[lambda x: x['fac_T_categ'] in ['het','hsid','hs'],[lambda x: x['fac_state'] in ['NSW','VIC','Other'],[None],[None]],[lambda x: x['num_age'] < 49.5,[None],[None]]],[lambda x: x['fac_T_categ'] in ['haem','blood','hsid','hs'],[None],[lambda x: x['num_age'] < 2.0,[None],[None]]]]
20;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Aids2_partition_2", "test-file": "test/Aids2_partition_2", "core-file": "Aids2"};63.728;[lambda x: x['num_age'] < 49.5,[None],[None]]
21;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Aids2_partition_3", "test-file": "test/Aids2_partition_3", "core-file": "Aids2"};65.213;[lambda x: x['num_age'] < 55.50000000000001,[None],[lambda x: x['fac_T_categ'] in ['haem','other','blood','hsid','hs'],[None],[None]]]
22;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Aids2_partition_4", "test-file": "test/Aids2_partition_4", "core-file": "Aids2"};67.991;[lambda x: x['num_age'] < 53.5,[None],[lambda x: x['num_age'] < 5.5,[lambda x: x['fac_T_categ'] in ['het','id','mother'],[None],[None]],[lambda x: x['fac_state'] in ['NSW'],[None],[None]]]]
23;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/csl_partition_1", "test-file": "test/csl_partition_1", "core-file": "csl"};69.21;[lambda x: x['num_prot'] < 55.49999999999999,[lambda x: x['num_age'] < 2.5,[None],[None]],[lambda x: x['num_prot'] < 24.5,[None],[None]]]
24;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/csl_partition_2", "test-file": "test/csl_partition_2", "core-file": "csl"};64.723;[lambda x: x['num_prot'] < 48.49999999999999,[lambda x: x['num_prot'] < 71.5,[None],[None]],[lambda x: x['num_prot'] < 24.5,[None],[None]]]
25;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/csl_partition_3", "test-file": "test/csl_partition_3", "core-file": "csl"};62.992;[lambda x: x['num_prot'] < 47.5,[lambda x: x['num_prot'] < 76.5,[lambda x: x['num_age'] < -8.5,[None],[None]],[lambda x: x['num_age'] < 2.5,[None],[None]]],[None]]
26;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/csl_partition_4", "test-file": "test/csl_partition_4", "core-file": "csl"};68.276;[lambda x: x['num_prot'] < 47.5,[lambda x: x['num_prot'] < 71.5,[None],[None]],[None]]
27;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT1_partition_1", "test-file": "test/dataDIVAT1_partition_1", "core-file": "dataDIVAT1"};140.023;[lambda x: x['fac_graft'] in ['Yes'],[lambda x: x['num_ageR'] < 62.62594458438288,[None],[None]],[lambda x: x['num_ageR'] < 55.913919614500045,[None],[None]]]
28;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT1_partition_2", "test-file": "test/dataDIVAT1_partition_2", "core-file": "dataDIVAT1"};205.711;[lambda x: x['fac_graft'] in ['Yes'],[lambda x: x['num_ageR'] < 64.06609352754353,[None],[None]],[lambda x: x['num_ageR'] < 55.913919614500045,[None],[None]]]
29;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT1_partition_3", "test-file": "test/dataDIVAT1_partition_3", "core-file": "dataDIVAT1"};270.61;[lambda x: x['fac_graft'] in ['Yes'],[lambda x: x['num_ageR'] < 62.698499616690384,[None],[None]],[lambda x: x['num_ageR'] < 55.913919614500045,[None],[None]]]
30;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT1_partition_4", "test-file": "test/dataDIVAT1_partition_4", "core-file": "dataDIVAT1"};170.282;[lambda x: x['fac_graft'] in ['Yes'],[lambda x: x['num_ageR'] < 64.06609352754353,[None],[None]],[lambda x: x['num_ageR'] < 55.92487131748986,[lambda x: x['num_year_tx'] < 2004.5,[None],[None]],[None]]]
31;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT3_partition_1", "test-file": "test/dataDIVAT3_partition_1", "core-file": "dataDIVAT3"};124.801;[lambda x: x['num_ageR'] < 65.5,[None],[lambda x: x['num_ageR'] < 44.5,[None],[None]]]
32;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT3_partition_2", "test-file": "test/dataDIVAT3_partition_2", "core-file": "dataDIVAT3"};132.263;[lambda x: x['num_ageR'] < 54.5,[None],[None]]
33;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT3_partition_3", "test-file": "test/dataDIVAT3_partition_3", "core-file": "dataDIVAT3"};145.973;[lambda x: x['fac_ante_diab'] in ['No'],[lambda x: x['num_year_tx'] < 2007.5,[lambda x: x['num_ageR'] < 70.5,[None],[None]],[lambda x: x['num_ageR'] < 45.5,[None],[None]]],[lambda x: x['num_ageR'] < 55.5,[lambda x: x['num_ageR'] < 71.5,[None],[None]],[lambda x: x['num_ageR'] < 38.5,[None],[None]]]]
34;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT3_partition_4", "test-file": "test/dataDIVAT3_partition_4", "core-file": "dataDIVAT3"};148.091;[lambda x: x['num_ageR'] < 58.5,[None],[None]]
