id;settings;time;tree
0;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_10_0", "test-file": "generated_dataset_50000_1_10_0", "core-file": "generated_dataset_00100_1_10_0"};14.131;[None]
1;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_50_0", "test-file": "generated_dataset_50000_1_50_0", "core-file": "generated_dataset_00100_1_50_0"};9.856;[None]
2;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_80_0", "test-file": "generated_dataset_50000_1_80_0", "core-file": "generated_dataset_00100_1_80_0"};10.96;[None]
3;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00200_1_10_0", "test-file": "generated_dataset_50000_1_10_0", "core-file": "generated_dataset_00200_1_10_0"};20.991;[lambda x: x['F2'] < 0.6651921365515182,[None],[None]]
4;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00200_1_50_0", "test-file": "generated_dataset_50000_1_50_0", "core-file": "generated_dataset_00200_1_50_0"};22.469;[None]
5;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00200_1_80_0", "test-file": "generated_dataset_50000_1_80_0", "core-file": "generated_dataset_00200_1_80_0"};14.345;[None]
6;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00500_1_10_0", "test-file": "generated_dataset_50000_1_10_0", "core-file": "generated_dataset_00500_1_10_0"};71.053;[lambda x: x['F1'] < 0.6980224835916624,[lambda x: x['F4'] in ['Z','X'],[None],[lambda x: x['F0'] < 0.8949722303084362,[None],[None]]],[lambda x: x['F2'] < 0.6651921365515181,[lambda x: x['F0'] < 0.847885604042087,[None],[None]],[None]]]
7;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00500_1_50_0", "test-file": "generated_dataset_50000_1_50_0", "core-file": "generated_dataset_00500_1_50_0"};43.246;[None]
8;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00500_1_80_0", "test-file": "generated_dataset_50000_1_80_0", "core-file": "generated_dataset_00500_1_80_0"};33.327;[lambda x: x['F2'] < 0.2519129230968956,[None],[None]]
9;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_01000_1_10_0", "test-file": "generated_dataset_50000_1_10_0", "core-file": "generated_dataset_01000_1_10_0"};107.386;[lambda x: x['F1'] < 0.6889211195901521,[lambda x: x['F4'] in ['Z','X'],[None],[lambda x: x['F0'] < 0.8532818657323487,[None],[None]]],[lambda x: x['F2'] < 0.665979359625108,[lambda x: x['F0'] < 0.8483124696246651,[None],[None]],[None]]]
10;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_01000_1_50_0", "test-file": "generated_dataset_50000_1_50_0", "core-file": "generated_dataset_01000_1_50_0"};85.965;[None]
11;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_01000_1_80_0", "test-file": "generated_dataset_50000_1_80_0", "core-file": "generated_dataset_01000_1_80_0"};65.069;[lambda x: x['F2'] < 0.2518080062952601,[None],[None]]
12;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_02000_1_10_0", "test-file": "generated_dataset_50000_1_10_0", "core-file": "generated_dataset_02000_1_10_0"};307.292;[lambda x: x['F0'] < 0.8508537853317645,[None],[lambda x: x['F1'] < 0.6895124917217095,[lambda x: x['F4'] in ['Z','X'],[None],[None]],[lambda x: x['F2'] < 0.6659793596251079,[None],[None]]]]
13;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_02000_1_50_0", "test-file": "generated_dataset_50000_1_50_0", "core-file": "generated_dataset_02000_1_50_0"};408.746;[lambda x: x['F2'] < 0.5339100579100116,[None],[lambda x: x['F1'] < 0.7471887198680776,[None],[None]]]
14;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_02000_1_80_0", "test-file": "generated_dataset_50000_1_80_0", "core-file": "generated_dataset_02000_1_80_0"};437.619;[lambda x: x['F2'] < 0.17408995029344376,[None],[lambda x: x['F2'] < 0.09435769826858909,[None],[lambda x: x['F2'] < 0.0630728636896446,[None],[None]]]]
15;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_05000_1_10_0", "test-file": "generated_dataset_50000_1_10_0", "core-file": "generated_dataset_05000_1_10_0"};1119.692;[lambda x: x['F0'] < 0.852409585647686,[lambda x: x['F1'] < 0.5480986603152207,[None],[None]],[lambda x: x['F1'] < 0.6881083330568215,[lambda x: x['F4'] in ['Z','X'],[lambda x: x['F0'] < 0.5146998791808344,[None],[None]],[lambda x: x['F1'] < 0.8171660952299284,[None],[None]]],[lambda x: x['F2'] < 0.6659824459668313,[None],[lambda x: x['F5'] in ['B','A','C','E'],[None],[None]]]]]
16;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_05000_1_50_0", "test-file": "generated_dataset_50000_1_50_0", "core-file": "generated_dataset_05000_1_50_0"};1286.53;[lambda x: x['F2'] < 0.5472850195677487,[lambda x: x['F1'] < 0.7328253711052922,[None],[None]],[lambda x: x['F1'] < 0.7184531489076296,[None],[None]]]
17;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_05000_1_80_0", "test-file": "generated_dataset_50000_1_80_0", "core-file": "generated_dataset_05000_1_80_0"};955.71;[lambda x: x['F2'] < 0.22036404788224495,[lambda x: x['F4'] in ['Y','X'],[lambda x: x['F0'] < 0.0897426245343858,[None],[None]],[lambda x: x['F1'] < 0.09027446123038185,[None],[None]]],[lambda x: x['F2'] < 0.0899698891084692,[lambda x: x['F2'] < 0.17409648906319408,[None],[None]],[lambda x: x['F2'] < 0.0633917249206068,[None],[None]]]]
18;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_10_1", "test-file": "generated_dataset_50000_1_10_1", "core-file": "generated_dataset_00100_1_10_1"};7.263;[lambda x: x['F4'] in ['X'],[None],[None]]
19;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_10_2", "test-file": "generated_dataset_50000_1_10_2", "core-file": "generated_dataset_00100_1_10_2"};6.775;[None]
20;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_10_3", "test-file": "generated_dataset_50000_1_10_3", "core-file": "generated_dataset_00100_1_10_3"};7.006;[None]
21;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_10_4", "test-file": "generated_dataset_50000_1_10_4", "core-file": "generated_dataset_00100_1_10_4"};6.855;[None]
22;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_50_1", "test-file": "generated_dataset_50000_1_50_1", "core-file": "generated_dataset_00100_1_50_1"};5.656;[None]
23;{"hyper-tune": "1", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_00100_1_50_2", "test-file": "generated_dataset_50000_1_50_2", "core-file": "generated_dataset_00100_1_50_2"};6.227;[None]
