id;settings;time;tree
0;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/acath_partition_0", "test-file": "test/acath_partition_0", "core-file": "acath"};6.253;[lambda x: x['fac_sex'] in ['M'],[lambda x: x['num_choleste'] < 278.5,[None],[None]],[lambda x: x['num_age'] < 54.5,[None],[None]]]
1;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/acath_partition_1", "test-file": "test/acath_partition_1", "core-file": "acath"};3.43;[lambda x: x['fac_sex'] in ['M'],[None],[None]]
2;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/acath_partition_2", "test-file": "test/acath_partition_2", "core-file": "acath"};3.721;[lambda x: x['fac_sex'] in ['M'],[lambda x: x['num_choleste'] < 239.5,[None],[None]],[lambda x: x['num_age'] < 55.5,[None],[None]]]
3;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/acath_partition_3", "test-file": "test/acath_partition_3", "core-file": "acath"};3.675;[lambda x: x['fac_sex'] in ['M'],[lambda x: x['num_choleste'] < 236.5,[None],[None]],[lambda x: x['num_age'] < 55.5,[None],[None]]]
4;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/acath_partition_4", "test-file": "test/acath_partition_4", "core-file": "acath"};4.356;[lambda x: x['num_age'] < 56.5,[lambda x: x['fac_sex'] in ['M'],[lambda x: x['num_choleste'] < 164.0,[None],[None]],[None]],[lambda x: x['num_choleste'] < 236.5,[lambda x: x['num_age'] < 43.5,[None],[None]],[lambda x: x['fac_sex'] in ['M'],[None],[None]]]]
5;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Aids2_partition_0", "test-file": "test/Aids2_partition_0", "core-file": "Aids2"};6.306;[lambda x: x['num_age'] < 50.5,[None],[None]]
6;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Aids2_partition_1", "test-file": "test/Aids2_partition_1", "core-file": "Aids2"};5.599;[lambda x: x['num_age'] < 49.5,[None],[lambda x: x['fac_T_categ'] in ['het','id'],[None],[None]]]
7;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Aids2_partition_2", "test-file": "test/Aids2_partition_2", "core-file": "Aids2"};4.852;[lambda x: x['num_age'] < 49.5,[None],[None]]
8;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Aids2_partition_3", "test-file": "test/Aids2_partition_3", "core-file": "Aids2"};5.754;[lambda x: x['num_age'] < 55.50000000000001,[None],[lambda x: x['fac_T_categ'] in ['het','id','mother'],[None],[None]]]
9;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Aids2_partition_4", "test-file": "test/Aids2_partition_4", "core-file": "Aids2"};5.698;[lambda x: x['num_age'] < 53.5,[None],[lambda x: x['num_age'] < 0.5,[None],[None]]]
10;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/csl_partition_0", "test-file": "test/csl_partition_0", "core-file": "csl"};4.973;[lambda x: x['num_prot'] < 71.5,[lambda x: x['num_age'] < -1.5,[None],[None]],[lambda x: x['num_prot'] < 55.49999999999999,[None],[None]]]
11;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/csl_partition_1", "test-file": "test/csl_partition_1", "core-file": "csl"};5.499;[lambda x: x['num_prot'] < 55.49999999999999,[lambda x: x['num_age'] < -4.5,[None],[None]],[None]]
12;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/csl_partition_2", "test-file": "test/csl_partition_2", "core-file": "csl"};5.902;[lambda x: x['num_prot'] < 74.5,[lambda x: x['num_age'] < -6.5,[None],[None]],[lambda x: x['num_age'] < 2.5,[lambda x: x['num_prot_prev'] < 47.5,[None],[None]],[lambda x: x['num_prot'] < 48.49999999999999,[None],[None]]]]
13;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/csl_partition_3", "test-file": "test/csl_partition_3", "core-file": "csl"};5.561;[lambda x: x['num_prot'] < 69.5,[lambda x: x['num_age'] < -0.5,[None],[None]],[lambda x: x['num_prot'] < 47.5,[None],[None]]]
14;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/csl_partition_4", "test-file": "test/csl_partition_4", "core-file": "csl"};4.614;[lambda x: x['num_prot'] < 48.5,[lambda x: x['num_age'] < 2.5,[None],[None]],[None]]
15;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT1_partition_0", "test-file": "test/dataDIVAT1_partition_0", "core-file": "dataDIVAT1"};12.348;[lambda x: x['fac_graft'] in ['Yes'],[lambda x: x['num_ageR'] < 62.63963421312015,[None],[None]],[lambda x: x['num_ageR'] < 60.21793888949732,[None],[None]]]
16;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT1_partition_1", "test-file": "test/dataDIVAT1_partition_1", "core-file": "dataDIVAT1"};12.355;[lambda x: x['num_ageR'] < 64.07020041616471,[None],[lambda x: x['fac_graft'] in ['Yes'],[None],[None]]]
17;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT1_partition_2", "test-file": "test/dataDIVAT1_partition_2", "core-file": "dataDIVAT1"};11.369;[lambda x: x['fac_graft'] in ['Yes'],[lambda x: x['num_ageR'] < 64.06609352754353,[None],[None]],[lambda x: x['num_ageR'] < 55.913919614500045,[None],[None]]]
18;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT1_partition_3", "test-file": "test/dataDIVAT1_partition_3", "core-file": "dataDIVAT1"};11.283;[lambda x: x['fac_graft'] in ['Yes'],[lambda x: x['num_ageR'] < 62.698499616690384,[None],[None]],[lambda x: x['num_ageR'] < 55.913919614500045,[None],[None]]]
19;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT1_partition_4", "test-file": "test/dataDIVAT1_partition_4", "core-file": "dataDIVAT1"};13.981;[lambda x: x['fac_graft'] in ['Yes'],[lambda x: x['num_ageR'] < 64.06609352754353,[None],[None]],[lambda x: x['num_ageR'] < 55.92487131748986,[None],[None]]]
20;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT3_partition_0", "test-file": "test/dataDIVAT3_partition_0", "core-file": "dataDIVAT3"};14.077;[lambda x: x['num_ageR'] < 56.5,[None],[None]]
21;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT3_partition_1", "test-file": "test/dataDIVAT3_partition_1", "core-file": "dataDIVAT3"};13.623;[lambda x: x['num_ageR'] < 65.5,[None],[lambda x: x['num_ageR'] < 44.5,[None],[None]]]
22;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT3_partition_2", "test-file": "test/dataDIVAT3_partition_2", "core-file": "dataDIVAT3"};11.969;[lambda x: x['num_ageR'] < 54.5,[None],[None]]
23;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT3_partition_3", "test-file": "test/dataDIVAT3_partition_3", "core-file": "dataDIVAT3"};14.791;[lambda x: x['num_ageR'] < 57.5,[None],[None]]
24;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/dataDIVAT3_partition_4", "test-file": "test/dataDIVAT3_partition_4", "core-file": "dataDIVAT3"};13.763;[lambda x: x['num_ageR'] < 58.5,[None],[None]]
25;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Dialysis_partition_0", "test-file": "test/Dialysis_partition_0", "core-file": "Dialysis"};14.721;[lambda x: x['fac_center'] < 829.9999999999999,[lambda x: x['fac_center'] < 1265.5,[lambda x: x['num_age'] < 55.5,[lambda x: x['num_age'] < 71.5,[None],[None]],[lambda x: x['num_age'] < 44.5,[None],[None]]],[lambda x: x['fac_center'] < 1129.5,[None],[lambda x: x['num_age'] < 50.49999999999999,[None],[None]]]],[lambda x: x['num_age'] < 59.50000000000001,[lambda x: x['fac_center'] < 124.0,[None],[None]],[lambda x: x['fac_center'] < 561.5,[lambda x: x['num_age'] < 42.5,[None],[None]],[lambda x: x['fac_center'] < 124.0,[None],[None]]]]]
26;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Dialysis_partition_1", "test-file": "test/Dialysis_partition_1", "core-file": "Dialysis"};12.938;[lambda x: x['fac_center'] < 1129.5,[lambda x: x['fac_center'] < 1265.5,[lambda x: x['num_age'] < 64.5,[None],[lambda x: x['num_age'] < 44.5,[None],[None]]],[None]],[lambda x: x['num_age'] < 50.5,[lambda x: x['fac_center'] < 1006.4999999999999,[None],[None]],[lambda x: x['fac_center'] < 829.9999999999999,[None],[None]]]]
27;{"mode": "hyper", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "train/Dialysis_partition_2", "test-file": "test/Dialysis_partition_2", "core-file": "Dialysis"};12.684;[lambda x: x['fac_center'] < 1129.5,[lambda x: x['num_age'] < 64.5,[lambda x: x['fac_center'] < 1404.5,[None],[None]],[lambda x: x['fac_center'] < 1265.5,[lambda x: x['num_age'] < 51.5,[None],[None]],[None]]],[lambda x: x['num_age'] < 50.49999999999999,[lambda x: x['fac_center'] < 1006.4999999999999,[None],[None]],[lambda x: x['fac_center'] < 830.4999999999999,[None],[None]]]]
