id;settings;time;tree
0;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 1, "max-depth": 1, "file": "generated_dataset_05000_1_50_0", "test-file": "generated_dataset_05000_1_50_0", "core-file": "generated_dataset_05000_1_50_0"};2.999;[lambda x: x['F1'] < 0.2774498189302371,[None],[None]]
1;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 3, "max-depth": 2, "file": "generated_dataset_05000_1_50_0", "test-file": "generated_dataset_05000_1_50_0", "core-file": "generated_dataset_05000_1_50_0"};4.581;[lambda x: x['F1'] < 0.2769686554891,[lambda x: x['F4'] in ['X'],[None],[None]],[lambda x: x['F2'] < 0.7352464768597272,[None],[None]]]
2;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "generated_dataset_05000_1_50_0", "test-file": "generated_dataset_05000_1_50_0", "core-file": "generated_dataset_05000_1_50_0"};8.592;[lambda x: x['F1'] < 0.5253981160354302,[lambda x: x['F5'] in ['C'],[lambda x: x['F4'] in ['X'],[None],[None]],[lambda x: x['F4'] in ['X'],[None],[None]]],[lambda x: x['F2'] < 0.7356645888418895,[lambda x: x['F0'] < 0.3485223000832441,[None],[None]],[lambda x: x['F1'] < 0.2769686554891,[None],[None]]]]
3;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_05000_1_50_0", "test-file": "generated_dataset_05000_1_50_0", "core-file": "generated_dataset_05000_1_50_0"};14.82;[lambda x: x['F1'] < 0.5374853533152416,[lambda x: x['F5'] in ['C'],[lambda x: x['F4'] in ['X'],[lambda x: x['F2'] < 0.10772024880812037,[None],[None]],[lambda x: x['F2'] < 0.08664396283554915,[None],[None]]],[lambda x: x['F0'] < 0.3040612610181524,[lambda x: x['F4'] in ['X'],[None],[None]],[lambda x: x['F2'] < 0.8408400779833991,[None],[None]]]],[lambda x: x['F2'] < 0.7354514833978792,[lambda x: x['F5'] in ['B','A','D','E'],[lambda x: x['F0'] < 0.3485223000832441,[None],[None]],[lambda x: x['F1'] < 0.004357948209997076,[None],[None]]],[lambda x: x['F5'] in ['B','A','C','E'],[lambda x: x['F2'] < 0.07758782027874767,[None],[None]],[lambda x: x['F1'] < 0.2766258965576348,[None],[None]]]]]
4;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 31, "max-depth": 5, "file": "generated_dataset_05000_1_50_0", "test-file": "generated_dataset_05000_1_50_0", "core-file": "generated_dataset_05000_1_50_0"};26.227;[lambda x: x['F1'] < 0.5376980452227457,[lambda x: x['F2'] < 0.10888887279272436,[lambda x: x['F4'] in ['X'],[lambda x: x['F5'] in ['B','A','D','E'],[lambda x: x['F0'] < 0.3040612610181524,[None],[None]],[lambda x: x['F1'] < 0.7128340063936853,[None],[None]]],[lambda x: x['F5'] in ['B','A','D','E'],[lambda x: x['F0'] < 0.8938111778124681,[None],[None]],[lambda x: x['F1'] < 0.5611267432848908,[None],[None]]]],[lambda x: x['F2'] < 0.08484722942840539,[lambda x: x['F4'] in ['Y','Z'],[lambda x: x['F5'] in ['B','C','D'],[None],[None]],[lambda x: x['F2'] < 0.08533284655843043,[None],[None]]],[lambda x: x['F2'] < 0.013501857748333013,[lambda x: x['F1'] < 0.7649361580314972,[None],[None]],[lambda x: x['F1'] < 0.6003349442326845,[None],[None]]]]],[lambda x: x['F5'] in ['B','A','C','E'],[lambda x: x['F2'] < 0.07758782027874767,[lambda x: x['F2'] < 0.7339079367394336,[lambda x: x['F0'] < 0.5218458669032618,[None],[None]],[lambda x: x['F0'] < 0.9748873869756363,[None],[None]]],[lambda x: x['F4'] in ['X'],[lambda x: x['F2'] < 0.055492439707003516,[None],[None]],[lambda x: x['F2'] < 0.07253818410091512,[None],[None]]]],[lambda x: x['F2'] < 0.7360271400208599,[lambda x: x['F0'] < 0.3485223000832441,[lambda x: x['F5'] in ['C','D'],[None],[None]],[lambda x: x['F5'] in ['C','D'],[None],[None]]],[lambda x: x['F1'] < 0.2766258965576348,[lambda x: x['F1'] < 0.5137376624672868,[None],[None]],[lambda x: x['F0'] < 0.8262785811736884,[None],[None]]]]]]
5;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 1, "max-depth": 1, "file": "generated_dataset_05000_1_50_1", "test-file": "generated_dataset_05000_1_50_1", "core-file": "generated_dataset_05000_1_50_1"};2.381;[lambda x: x['F0'] < 0.7402778367499728,[None],[None]]
6;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 3, "max-depth": 2, "file": "generated_dataset_05000_1_50_1", "test-file": "generated_dataset_05000_1_50_1", "core-file": "generated_dataset_05000_1_50_1"};4.545;[lambda x: x['F0'] < 0.7402778367499728,[lambda x: x['F2'] < 0.9075738722031476,[None],[None]],[lambda x: x['F5'] in ['B','A','C','E'],[None],[None]]]
7;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "generated_dataset_05000_1_50_1", "test-file": "generated_dataset_05000_1_50_1", "core-file": "generated_dataset_05000_1_50_1"};8.374;[lambda x: x['F0'] < 0.7374533332968431,[lambda x: x['F1'] < 0.8544986605587868,[lambda x: x['F0'] < 0.7766030794595441,[None],[None]],[lambda x: x['F2'] < 0.9058920161230337,[None],[None]]],[lambda x: x['F1'] < 0.32326944244668193,[lambda x: x['F5'] in ['B','A','C','E'],[None],[None]],[lambda x: x['F3'] < 0.5,[None],[None]]]]
8;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_05000_1_50_1", "test-file": "generated_dataset_05000_1_50_1", "core-file": "generated_dataset_05000_1_50_1"};14.666;[lambda x: x['F0'] < 0.5384197716076682,[lambda x: x['F0'] < 0.7377412179952946,[lambda x: x['F1'] < 0.8544986605587868,[lambda x: x['F0'] < 0.7766030794595441,[None],[None]],[lambda x: x['F2'] < 0.9058920161230337,[None],[None]]],[lambda x: x['F0'] < 0.6377399004303723,[lambda x: x['F1'] < 0.8652313538756855,[None],[None]],[lambda x: x['F1'] < 0.8522991866018826,[None],[None]]]],[lambda x: x['F1'] < 0.3368369233517602,[lambda x: x['F5'] in ['B','A','C','E'],[lambda x: x['F4'] in ['Y','X'],[None],[None]],[lambda x: x['F5'] in ['C','D'],[None],[None]]],[lambda x: x['F3'] < 0.5,[lambda x: x['F1'] < 0.05033817391066364,[None],[None]],[lambda x: x['F2'] < 0.7965096222256723,[None],[None]]]]]
9;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 31, "max-depth": 5, "file": "generated_dataset_05000_1_50_1", "test-file": "generated_dataset_05000_1_50_1", "core-file": "generated_dataset_05000_1_50_1"};23.689;[lambda x: x['F0'] < 0.7377412179952946,[lambda x: x['F2'] < 0.9058920161230337,[lambda x: x['F4'] in ['Z','X'],[lambda x: x['F2'] < 0.9202128080635599,[lambda x: x['F2'] < 0.9824552387021918,[None],[None]],[lambda x: x['F1'] < 0.4827265934421663,[None],[None]]],[lambda x: x['F1'] < 0.8510440426524946,[lambda x: x['F5'] in ['B','A','D'],[None],[None]],[lambda x: x['F5'] in ['A','C'],[None],[None]]]],[lambda x: x['F5'] in ['B','A','E'],[lambda x: x['F1'] < 0.20744376410999554,[lambda x: x['F2'] < 0.8968698540127095,[None],[None]],[lambda x: x['F1'] < 0.1713891256637875,[None],[None]]],[lambda x: x['F2'] < 0.8998231402004755,[lambda x: x['F0'] < 0.8270346302907171,[None],[None]],[lambda x: x['F1'] < 0.7671985331337827,[None],[None]]]]],[lambda x: x['F1'] < 0.3369331783130186,[lambda x: x['F0'] < 0.5384197716076682,[lambda x: x['F0'] < 0.637779860446909,[lambda x: x['F1'] < 0.8652313538756855,[None],[None]],[lambda x: x['F1'] < 0.8522991866018826,[None],[None]]],[lambda x: x['F5'] in ['B','A','C','E'],[lambda x: x['F4'] in ['Y','X'],[None],[None]],[lambda x: x['F5'] in ['B','A','E'],[None],[None]]]],[lambda x: x['F0'] < 0.5409104408968689,[lambda x: x['F1'] < 0.11878559808853197,[lambda x: x['F0'] < 0.602303180458193,[None],[None]],[lambda x: x['F1'] < 0.107141246136292,[None],[None]]],[lambda x: x['F3'] < 0.5,[lambda x: x['F1'] < 0.05033817391066364,[None],[None]],[lambda x: x['F2'] < 0.7965096222256723,[None],[None]]]]]]
