id;settings;time;tree
0;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 3, "max-depth": 2, "file": "generated_dataset_05000_1_10_0", "test-file": "generated_dataset_05000_1_10_0", "core-file": "generated_dataset_05000_1_10_0"};3.924;[lambda x: x['F2'] < 0.7897755524584759,[lambda x: x['F2'] < 0.8944418794816957,[None],[None]],[lambda x: x['F3'] < 0.5,[None],[None]]]
1;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "generated_dataset_05000_1_10_0", "test-file": "generated_dataset_05000_1_10_0", "core-file": "generated_dataset_05000_1_10_0"};7.736;[lambda x: x['F2'] < 0.7912326729865556,[lambda x: x['F5'] in ['E'],[lambda x: x['F2'] < 0.8930881997521749,[None],[None]],[lambda x: x['F0'] < 0.6647989168071078,[None],[None]]],[lambda x: x['F3'] < 0.5,[lambda x: x['F1'] < 0.42409201960702225,[None],[None]],[lambda x: x['F1'] < 0.5454754033041869,[None],[None]]]]
2;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_05000_1_10_0", "test-file": "generated_dataset_05000_1_10_0", "core-file": "generated_dataset_05000_1_10_0"};13.695;[lambda x: x['F2'] < 0.7912326729865556,[lambda x: x['F2'] < 0.8930881997521749,[lambda x: x['F5'] in ['B','A','C','D'],[lambda x: x['F0'] < 0.669912760186622,[None],[None]],[lambda x: x['F3'] < 0.5,[None],[None]]],[lambda x: x['F5'] in ['B','A','C','D'],[lambda x: x['F0'] < 0.6489052817131347,[None],[None]],[lambda x: x['F1'] < 0.7415304668677587,[None],[None]]]],[lambda x: x['F3'] < 0.5,[lambda x: x['F0'] < 0.6385547131940068,[lambda x: x['F1'] < 0.4948641564218358,[None],[None]],[lambda x: x['F0'] < 0.14393856692023488,[None],[None]]],[lambda x: x['F1'] < 0.5454754033041869,[lambda x: x['F1'] < 0.6543568716071897,[None],[None]],[lambda x: x['F1'] < 0.2332426071538212,[None],[None]]]]]
3;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 31, "max-depth": 5, "file": "generated_dataset_05000_1_10_0", "test-file": "generated_dataset_05000_1_10_0", "core-file": "generated_dataset_05000_1_10_0"};21.07;[lambda x: x['F2'] < 0.8944418794816957,[lambda x: x['F0'] < 0.7703260376724549,[lambda x: x['F5'] in ['D'],[lambda x: x['F2'] < 0.959317605671054,[lambda x: x['F0'] < 0.813552478245958,[None],[None]],[lambda x: x['F2'] < 0.9577821912263729,[None],[None]]],[lambda x: x['F4'] in ['Z','X'],[lambda x: x['F1'] < 0.06048453078512145,[None],[None]],[lambda x: x['F2'] < 0.8964373338712149,[None],[None]]]],[lambda x: x['F3'] < 0.5,[lambda x: x['F5'] in ['B','A','C','D'],[lambda x: x['F0'] < 0.669912760186622,[None],[None]],[lambda x: x['F1'] < 0.9971912516341664,[None],[None]]],[lambda x: x['F2'] < 0.9881879394956627,[lambda x: x['F5'] in ['A','E'],[None],[None]],[lambda x: x['F2'] < 0.9873141508651423,[None],[None]]]]],[lambda x: x['F2'] < 0.7912326729865556,[lambda x: x['F5'] in ['E'],[lambda x: x['F1'] < 0.7411570538492908,[lambda x: x['F2'] < 0.8927832440297806,[None],[None]],[lambda x: x['F0'] < 0.1192038281913208,[None],[None]]],[lambda x: x['F0'] < 0.9792017412062155,[lambda x: x['F0'] < 0.9891068170741607,[None],[None]],[lambda x: x['F0'] < 0.6425048426489073,[None],[None]]]],[lambda x: x['F3'] < 0.5,[lambda x: x['F0'] < 0.6385547131940068,[lambda x: x['F1'] < 0.4948641564218358,[None],[None]],[lambda x: x['F0'] < 0.14393856692023488,[None],[None]]],[lambda x: x['F1'] < 0.5453783085605546,[lambda x: x['F1'] < 0.6543568716071897,[None],[None]],[lambda x: x['F1'] < 0.2332426071538212,[None],[None]]]]]]
4;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 3, "max-depth": 2, "file": "generated_dataset_05000_1_10_1", "test-file": "generated_dataset_05000_1_10_1", "core-file": "generated_dataset_05000_1_10_1"};3.683;[lambda x: x['F3'] < 0.5,[lambda x: x['F4'] in ['Y','X'],[None],[None]],[lambda x: x['F5'] in ['C'],[None],[None]]]
5;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "generated_dataset_05000_1_10_1", "test-file": "generated_dataset_05000_1_10_1", "core-file": "generated_dataset_05000_1_10_1"};8.705;[lambda x: x['F3'] < 0.5,[lambda x: x['F1'] < 0.07763323251847815,[lambda x: x['F4'] in ['Y','X'],[None],[None]],[lambda x: x['F2'] < 0.9864849624666708,[None],[None]]],[lambda x: x['F1'] < 0.7219732404271592,[lambda x: x['F0'] < 0.6160565250715407,[None],[None]],[lambda x: x['F5'] in ['C'],[None],[None]]]]
6;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_05000_1_10_1", "test-file": "generated_dataset_05000_1_10_1", "core-file": "generated_dataset_05000_1_10_1"};12.001;[lambda x: x['F3'] < 0.5,[lambda x: x['F0'] < 0.12104702803268147,[lambda x: x['F4'] in ['Z'],[lambda x: x['F1'] < 0.06315379126168814,[None],[None]],[lambda x: x['F1'] < 0.07263711428195235,[None],[None]]],[lambda x: x['F1'] < 0.3117412465673536,[lambda x: x['F1'] < 0.9498963446230716,[None],[None]],[lambda x: x['F2'] < 0.03198361117400911,[None],[None]]]],[lambda x: x['F1'] < 0.7219732404271592,[lambda x: x['F0'] < 0.6160565250715407,[lambda x: x['F5'] in ['B','A','D','E'],[None],[None]],[lambda x: x['F5'] in ['B','A','D'],[None],[None]]],[lambda x: x['F0'] < 0.33027359659040884,[lambda x: x['F5'] in ['C'],[None],[None]],[lambda x: x['F1'] < 0.3146736737912354,[None],[None]]]]]
7;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 31, "max-depth": 5, "file": "generated_dataset_05000_1_10_1", "test-file": "generated_dataset_05000_1_10_1", "core-file": "generated_dataset_05000_1_10_1"};18.215;[lambda x: x['F3'] < 0.5,[lambda x: x['F4'] in ['Y','X'],[lambda x: x['F1'] < 0.08049175613399673,[lambda x: x['F0'] < 0.08175818055808964,[lambda x: x['F2'] < 0.9936265235101492,[None],[None]],[lambda x: x['F0'] < 0.07826510901623424,[None],[None]]],[lambda x: x['F0'] < 0.538305684117621,[lambda x: x['F2'] < 0.9122848834110715,[None],[None]],[lambda x: x['F0'] < 0.03861653991237757,[None],[None]]]],[lambda x: x['F0'] < 0.12064972732668156,[lambda x: x['F1'] < 0.06315379126168814,[lambda x: x['F5'] in ['B','A'],[None],[None]],[lambda x: x['F5'] in ['B','A','C','D'],[None],[None]]],[lambda x: x['F1'] < 0.797071759687154,[lambda x: x['F1'] < 0.9021456652116157,[None],[None]],[lambda x: x['F1'] < 0.3311827521330704,[None],[None]]]]],[lambda x: x['F1'] < 0.7237922204886985,[lambda x: x['F0'] < 0.5426718154047484,[lambda x: x['F5'] in ['B','A','D','E'],[lambda x: x['F2'] < 0.46915703800885505,[None],[None]],[lambda x: x['F0'] < 0.5965777785387918,[None],[None]]],[lambda x: x['F1'] < 0.9137062563903078,[lambda x: x['F0'] < 0.461954586294096,[None],[None]],[lambda x: x['F1'] < 0.8444209720455469,[None],[None]]]],[lambda x: x['F5'] in ['C'],[lambda x: x['F0'] < 0.31673742957176554,[lambda x: x['F1'] < 0.2510318236987623,[None],[None]],[lambda x: x['F1'] < 0.3146736737912354,[None],[None]]],[lambda x: x['F2'] < 0.03175834454825971,[lambda x: x['F0'] < 0.3307768391782349,[None],[None]],[lambda x: x['F2'] < 0.027396264238615187,[None],[None]]]]]]
8;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 3, "max-depth": 2, "file": "generated_dataset_05000_1_10_2", "test-file": "generated_dataset_05000_1_10_2", "core-file": "generated_dataset_05000_1_10_2"};3.942;[lambda x: x['F5'] in ['A'],[lambda x: x['F0'] < 0.8336979074798873,[None],[None]],[lambda x: x['F0'] < 0.42390558569207204,[None],[None]]]
9;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "generated_dataset_05000_1_10_2", "test-file": "generated_dataset_05000_1_10_2", "core-file": "generated_dataset_05000_1_10_2"};7.183;[lambda x: x['F0'] < 0.42421710259539885,[lambda x: x['F5'] in ['A'],[lambda x: x['F0'] < 0.8336874337140987,[None],[None]],[lambda x: x['F1'] < 0.5177694412521732,[None],[None]]],[lambda x: x['F1'] < 0.47833377833158724,[lambda x: x['F4'] in ['Y','X'],[None],[None]],[lambda x: x['F0'] < 0.049500468883285687,[None],[None]]]]
10;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 15, "max-depth": 4, "file": "generated_dataset_05000_1_10_2", "test-file": "generated_dataset_05000_1_10_2", "core-file": "generated_dataset_05000_1_10_2"};12.28;[lambda x: x['F0'] < 0.4235216410419234,[lambda x: x['F5'] in ['A'],[lambda x: x['F0'] < 0.8337758201248501,[lambda x: x['F1'] < 0.8891549775661278,[None],[None]],[lambda x: x['F0'] < 0.548893405749899,[None],[None]]],[lambda x: x['F1'] < 0.514212824103187,[lambda x: x['F4'] in ['X'],[None],[None]],[lambda x: x['F4'] in ['X'],[None],[None]]]],[lambda x: x['F1'] < 0.47833377833158724,[lambda x: x['F4'] in ['Y','X'],[lambda x: x['F3'] < 0.5,[None],[None]],[lambda x: x['F1'] < 0.48235592924854886,[None],[None]]],[lambda x: x['F0'] < 0.049500468883285687,[lambda x: x['F4'] in ['Z','X'],[None],[None]],[lambda x: x['F2'] < 0.16038313220459177,[None],[None]]]]]
11;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 31, "max-depth": 5, "file": "generated_dataset_05000_1_10_2", "test-file": "generated_dataset_05000_1_10_2", "core-file": "generated_dataset_05000_1_10_2"};20.038;[lambda x: x['F0'] < 0.42421710259539885,[lambda x: x['F5'] in ['A'],[lambda x: x['F0'] < 0.8337698219062195,[lambda x: x['F1'] < 0.8867184882473116,[lambda x: x['F2'] < 0.3864588200501423,[None],[None]],[lambda x: x['F2'] < 0.4583090171093341,[None],[None]]],[lambda x: x['F0'] < 0.548893405749899,[lambda x: x['F2'] < 0.24392470451105236,[None],[None]],[lambda x: x['F0'] < 0.46055794968944436,[None],[None]]]],[lambda x: x['F1'] < 0.5159675831073616,[lambda x: x['F4'] in ['X'],[lambda x: x['F0'] < 0.975197717813356,[None],[None]],[lambda x: x['F2'] < 0.28698434629342007,[None],[None]]],[lambda x: x['F4'] in ['X'],[lambda x: x['F0'] < 0.6247871887603377,[None],[None]],[lambda x: x['F0'] < 0.7426017460346581,[None],[None]]]]],[lambda x: x['F0'] < 0.049217516588429155,[lambda x: x['F4'] in ['Z'],[lambda x: x['F4'] in ['X'],[lambda x: x['F1'] < 0.4713406762209568,[None],[None]],[lambda x: x['F1'] < 0.952185535010103,[None],[None]]],[lambda x: x['F1'] < 0.9829734512707586,[lambda x: x['F2'] < 0.4808171182046784,[None],[None]],[lambda x: x['F1'] < 0.5053295164063448,[None],[None]]]],[lambda x: x['F1'] < 0.4842990438758617,[lambda x: x['F4'] in ['X'],[lambda x: x['F4'] in ['Y','X'],[None],[None]],[lambda x: x['F1'] < 0.9242313063476791,[None],[None]]],[lambda x: x['F2'] < 0.16038313220459177,[lambda x: x['F5'] in ['B','C'],[None],[None]],[lambda x: x['F4'] in ['Y','X'],[None],[None]]]]]]
12;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 3, "max-depth": 2, "file": "generated_dataset_05000_1_10_3", "test-file": "generated_dataset_05000_1_10_3", "core-file": "generated_dataset_05000_1_10_3"};4.015;[lambda x: x['F4'] in ['X'],[lambda x: x['F1'] < 0.4204671122227341,[None],[None]],[lambda x: x['F0'] < 0.09945113045232762,[None],[None]]]
13;{"mode": "direct", "cost-complexity": 0, "max-num-nodes": 7, "max-depth": 3, "file": "generated_dataset_05000_1_10_3", "test-file": "generated_dataset_05000_1_10_3", "core-file": "generated_dataset_05000_1_10_3"};7.723;[lambda x: x['F0'] < 0.3413592574173237,[lambda x: x['F1'] < 0.41215806450782994,[lambda x: x['F4'] in ['X'],[None],[None]],[lambda x: x['F0'] < 0.4671187585469908,[None],[None]]],[lambda x: x['F0'] < 0.08832445321168907,[lambda x: x['F0'] < 0.09928659755048735,[None],[None]],[lambda x: x['F4'] in ['X'],[None],[None]]]]
