id;settings;time;tree
0;{'hyper-tune': '0', 'cost-complexity': 0, 'max-num-nodes': 3, 'max-depth': 2, 'file': 'generated_dataset_05000_1_50_0', 'test-file': 'generated_dataset_05000_1_50_0', 'core-file': 'generated_dataset_05000_1_50_0'};0.203;[lambda x: x['F0'] > 0.5446576909885412,[lambda x: x['F0'] > 0.34853362324370596,[0.957157],[1.267694]],[lambda x: x["F3"],[1.173697],[0.743179]]]
1;{'hyper-tune': '0', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'generated_dataset_05000_1_50_0', 'test-file': 'generated_dataset_05000_1_50_0', 'core-file': 'generated_dataset_05000_1_50_0'};5.758;[lambda x: x['F0'] > 0.5446576909885412,[lambda x: x['F0'] > 0.34853362324370596,[lambda x: x['F0'] > 0.24896902557014766,[1.117476],[0.641208]],[lambda x: x['F5'] == 'B',[1.357101],[0.960595]]],[lambda x: x["F3"],[lambda x: x['F1'] > 0.5574457648134105,[1.306802],[1.03324]],[lambda x: x['F2'] > 0.0477425916060184,[1.293638],[0.721024]]]]
2;{'hyper-tune': '0', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'generated_dataset_05000_1_50_0', 'test-file': 'generated_dataset_05000_1_50_0', 'core-file': 'generated_dataset_05000_1_50_0'};112.808;[lambda x: x['F0'] > 0.24896902557014766,[lambda x: x['F2'] > 0.3435386963436561,[lambda x: x['F5'] == 'B',[lambda x: x['F0'] > 0.051079453975765854,[0.659624],[1.207492]],[lambda x: x['F4'] == 'X',[1.502902],[0.462041]]],[lambda x: x['F5'] == 'E',[lambda x: x['F5'] == 'C',[1.047458],[1.320524]],[lambda x: x['F1'] > 0.05697242916479678,[0.102522],[1.514146]]]],[lambda x: x['F0'] > 0.5446576909885412,[lambda x: x['F0'] > 0.34853362324370596,[lambda x: x['F1'] > 0.8511096877169048,[0.576469],[1.088392]],[lambda x: x['F5'] == 'B',[1.357101],[0.960595]]],[lambda x: x["F3"],[lambda x: x['F1'] > 0.5574457648134105,[1.306802],[1.03324]],[lambda x: x['F2'] > 0.0477425916060184,[1.293638],[0.721024]]]]]
3;{'hyper-tune': '0', 'cost-complexity': 0, 'max-num-nodes': 31, 'max-depth': 5, 'file': 'generated_dataset_05000_1_50_0', 'test-file': 'generated_dataset_05000_1_50_0', 'core-file': 'generated_dataset_05000_1_50_0'};-599.738;[None]
4;{'hyper-tune': '0', 'cost-complexity': 0, 'max-num-nodes': 3, 'max-depth': 2, 'file': 'generated_dataset_05000_1_50_1', 'test-file': 'generated_dataset_05000_1_50_1', 'core-file': 'generated_dataset_05000_1_50_1'};0.222;[lambda x: x['F1'] > 0.3457788140293246,[lambda x: x['F5'] == 'C',[0.702145],[2.599442]],[lambda x: x['F4'] == 'X',[1.171119],[0.78291]]]
5;{'hyper-tune': '0', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'generated_dataset_05000_1_50_1', 'test-file': 'generated_dataset_05000_1_50_1', 'core-file': 'generated_dataset_05000_1_50_1'};5.376;[lambda x: x['F1'] > 0.3457788140293246,[lambda x: x['F5'] == 'E',[lambda x: x['F5'] == 'C',[0.78463],[2.599442]],[lambda x: x['F0'] > 0.14953700674382492,[1.489342],[0.406796]]],[lambda x: x['F4'] == 'Y',[lambda x: x['F1'] > 0.6383505901278862,[0.670532],[1.160804]],[lambda x: x['F0'] > 0.5474813776545505,[2.087972],[0.663175]]]]
6;{'hyper-tune': '0', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'generated_dataset_05000_1_50_1', 'test-file': 'generated_dataset_05000_1_50_1', 'core-file': 'generated_dataset_05000_1_50_1'};111.208;[lambda x: x['F1'] > 0.3457788140293246,[lambda x: x['F5'] == 'E',[lambda x: x['F5'] == 'C',[lambda x: x['F4'] == 'X',[0.655128],[1.074033]],[lambda x: x['F2'] > 0.8505131017387838,[2.848906],[1.516782]]],[lambda x: x['F2'] > 0.8505131017387838,[lambda x: x['F0'] > 0.14953700674382492,[1.911475],[0.432302]],[lambda x: x["F3"],[0.146166],[0.424285]]]],[lambda x: x['F4'] == 'Z',[lambda x: x['F4'] == 'X',[lambda x: x['F0'] > 0.5474813776545505,[2.087972],[0.663175]],[lambda x: x['F0'] > 0.253326118875993,[0.581097],[0.858227]]],[lambda x: x['F1'] > 0.747032476042812,[lambda x: x['F1'] > 0.6383505901278862,[0.525481],[1.153865]],[lambda x: x['F0'] > 0.253326118875993,[1.63768],[2.354071]]]]]
7;{'hyper-tune': '0', 'cost-complexity': 0, 'max-num-nodes': 31, 'max-depth': 5, 'file': 'generated_dataset_05000_1_50_1', 'test-file': 'generated_dataset_05000_1_50_1', 'core-file': 'generated_dataset_05000_1_50_1'};-1000000000.0;[None]
8;{'hyper-tune': '0', 'cost-complexity': 0, 'max-num-nodes': 3, 'max-depth': 2, 'file': 'generated_dataset_05000_1_50_2', 'test-file': 'generated_dataset_05000_1_50_2', 'core-file': 'generated_dataset_05000_1_50_2'};0.21;[lambda x: x['F4'] == 'Y',[lambda x: x["F3"],[0.716647],[1.453199]],[lambda x: x['F1'] > 0.550489586757493,[1.721056],[0.38344]]]
9;{'hyper-tune': '0', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'generated_dataset_05000_1_50_2', 'test-file': 'generated_dataset_05000_1_50_2', 'core-file': 'generated_dataset_05000_1_50_2'};5.316;[lambda x: x['F4'] == 'Y',[lambda x: x['F2'] > 0.15439622661128766,[lambda x: x['F2'] > 0.05247714119805669,[1.101974],[0.499742]],[lambda x: x["F3"],[0.712944],[1.679342]]],[lambda x: x['F1'] > 0.444838387917934,[lambda x: x['F2'] > 0.15439622661128766,[0.783022],[2.362498]],[lambda x: x['F1'] > 0.550489586757493,[1.041467],[0.38344]]]]
