id;settings;time;tree
0;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 3, 'max-depth': 2, 'file': 'generated_dataset_05000_1_50_0', 'test-file': 'generated_dataset_05000_1_50_0', 'core-file': 'generated_dataset_05000_1_50_0'};0.028;[lambda x: x['F5'] == 'D',[lambda x: x['F2'] > 0.45224893310852604,[1.820862],[0.565149]],[lambda x: x['F4'] == 'Z',[0.633292],[3.796327]]]
1;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'generated_dataset_05000_1_50_0', 'test-file': 'generated_dataset_05000_1_50_0', 'core-file': 'generated_dataset_05000_1_50_0'};0.12;[lambda x: x['F5'] == 'D',[lambda x: x['F2'] > 0.45224893310852604,[lambda x: x['F5'] == 'A',[1.593323],[2.71839]],[lambda x: x['F1'] > 0.8541097790254786,[0.511952],[0.9452]]],[lambda x: x['F4'] == 'Z',[lambda x: x['F0'] > 0.4461559041081449,[1.037825],[0.379906]],[lambda x: x['F2'] > 0.14716220839835376,[1.10829],[5.410662]]]]
2;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'generated_dataset_05000_1_50_0', 'test-file': 'generated_dataset_05000_1_50_0', 'core-file': 'generated_dataset_05000_1_50_0'};3.186;[lambda x: x['F5'] == 'D',[lambda x: x['F2'] > 0.348242732742369,[lambda x: x['F5'] == 'A',[lambda x: x['F2'] > 0.14716220839835376,[1.384682],[2.000685]],[lambda x: x['F0'] > 0.2523845241944757,[1.390013],[4.193317]]],[lambda x: x['F1'] > 0.8541097790254786,[lambda x: x['F2'] > 0.45224893310852604,[1.429782],[0.511952]],[lambda x: x['F4'] == 'Y',[0.708604],[2.098061]]]],[lambda x: x['F2'] > 0.14716220839835376,[lambda x: x['F1'] > 0.5400079172307368,[lambda x: x['F4'] == 'Z',[0.452474],[1.339272]],[lambda x: x['F0'] > 0.15411511576703285,[3.54853],[0.998325]]],[lambda x: x['F4'] == 'Z',[lambda x: x['F0'] > 0.4461559041081449,[1.082551],[0.320807]],[lambda x: x['F1'] > 0.4451652853309516,[7.828068],[4.054953]]]]]
3;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 31, 'max-depth': 5, 'file': 'generated_dataset_05000_1_50_0', 'test-file': 'generated_dataset_05000_1_50_0', 'core-file': 'generated_dataset_05000_1_50_0'};44.807;[lambda x: x['F2'] > 0.14716220839835376,[lambda x: x['F5'] == 'A',[lambda x: x['F5'] == 'D',[lambda x: x['F0'] > 0.4461559041081449,[lambda x: x['F1'] > 0.14517027052634152,[0.706046],[1.695562]],[lambda x: x['F0'] > 0.8593063543270856,[1.151441],[1.692995]]],[lambda x: x['F1'] > 0.5400079172307368,[lambda x: x['F4'] == 'Z',[0.452474],[1.339272]],[lambda x: x['F0'] > 0.15411511576703285,[3.54853],[0.998325]]]],[lambda x: x['F0'] > 0.7547216328410626,[lambda x: x['F1'] > 0.5400079172307368,[lambda x: x['F0'] > 0.2523845241944757,[0.517793],[3.547823]],[lambda x: x['F2'] > 0.049548037360168884,[1.155967],[3.645638]]],[lambda x: x['F1'] > 0.9532045451189226,[lambda x: x['F0'] > 0.9535858409143501,[10.794615],[2.318086]],[lambda x: x["F3"],[7.381408],[0.30993]]]]],[lambda x: x['F5'] == 'D',[lambda x: x['F2'] > 0.348242732742369,[lambda x: x['F5'] == 'A',[lambda x: x['F1'] > 0.8541097790254786,[2.149435],[1.355213]],[lambda x: x['F0'] > 0.2523845241944757,[1.516555],[4.547782]]],[lambda x: x['F1'] > 0.8541097790254786,[lambda x: x['F2'] > 0.45224893310852604,[1.429782],[0.511952]],[lambda x: x['F4'] == 'Y',[0.708604],[2.098061]]]],[lambda x: x['F4'] == 'Z',[lambda x: x['F1'] > 0.9532045451189226,[lambda x: x['F0'] > 0.4461559041081449,[1.110277],[0.296387]],[lambda x: x['F2'] > 0.5510108288905043,[1.000362],[0.452378]]],[lambda x: x['F0'] > 0.5457394203724222,[lambda x: x['F1'] > 0.4451652853309516,[10.393497],[3.708934]],[lambda x: x['F1'] > 0.14517027052634152,[11.842545],[4.553771]]]]]]
4;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 3, 'max-depth': 2, 'file': 'generated_dataset_05000_1_50_1', 'test-file': 'generated_dataset_05000_1_50_1', 'core-file': 'generated_dataset_05000_1_50_1'};0.024;[lambda x: x['F4'] == 'X',[lambda x: x['F2'] > 0.45503404715426893,[0.84559],[1.889412]],[lambda x: x['F1'] > 0.2562077819457139,[1.171034],[0.378259]]]
5;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'generated_dataset_05000_1_50_1', 'test-file': 'generated_dataset_05000_1_50_1', 'core-file': 'generated_dataset_05000_1_50_1'};0.105;[lambda x: x['F1'] > 0.44637388125052413,[lambda x: x['F1'] > 0.2562077819457139,[lambda x: x["F3"],[0.7327],[1.519019]],[lambda x: x['F4'] == 'X',[1.782186],[0.249438]]],[lambda x: x['F2'] > 0.5505046393701181,[lambda x: x['F2'] > 0.15475984385120517,[0.325533],[0.834388]],[lambda x: x['F4'] == 'X',[2.996303],[0.278682]]]]
6;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'generated_dataset_05000_1_50_1', 'test-file': 'generated_dataset_05000_1_50_1', 'core-file': 'generated_dataset_05000_1_50_1'};2.533;[lambda x: x['F1'] > 0.44637388125052413,[lambda x: x['F1'] > 0.2562077819457139,[lambda x: x["F3"],[lambda x: x['F5'] == 'B',[0.617928],[1.311024]],[lambda x: x['F4'] == 'X',[1.369802],[1.83297]]],[lambda x: x['F4'] == 'X',[lambda x: x['F5'] == 'B',[1.680808],[2.292266]],[lambda x: x['F2'] > 0.15475984385120517,[1.50286],[0.124667]]]],[lambda x: x['F2'] > 0.45503404715426893,[lambda x: x['F2'] > 0.35519557947409597,[lambda x: x['F2'] > 0.15475984385120517,[0.325533],[1.081995]],[lambda x: x['F1'] > 0.8468460132270055,[0.139274],[1.230251]]],[lambda x: x['F5'] == 'D',[lambda x: x['F4'] == 'X',[4.168553],[0.209086]],[lambda x: x["F3"],[0.793561],[0.378882]]]]]
7;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 31, 'max-depth': 5, 'file': 'generated_dataset_05000_1_50_1', 'test-file': 'generated_dataset_05000_1_50_1', 'core-file': 'generated_dataset_05000_1_50_1'};38.801;[lambda x: x['F1'] > 0.44637388125052413,[lambda x: x['F1'] > 0.2562077819457139,[lambda x: x["F3"],[lambda x: x['F5'] == 'B',[lambda x: x['F0'] > 0.46420305127686023,[0.723329],[0.523667]],[lambda x: x['F0'] > 0.9551093441509115,[1.244871],[3.804393]]],[lambda x: x['F2'] > 0.2580428917081528,[lambda x: x['F4'] == 'Z',[1.824425],[0.831815]],[lambda x: x['F4'] == 'X',[1.411789],[1.835963]]]],[lambda x: x['F4'] == 'X',[lambda x: x['F2'] > 0.8507523105846221,[lambda x: x['F5'] == 'B',[1.602206],[2.280512]],[lambda x: x['F5'] == 'C',[2.064248],[3.350541]]],[lambda x: x['F5'] == 'C',[lambda x: x['F2'] > 0.15475984385120517,[1.449737],[0.109739]],[lambda x: x['F2'] > 0.05231745840045765,[5.013103],[0.170759]]]]],[lambda x: x['F2'] > 0.5505046393701181,[lambda x: x['F2'] > 0.45503404715426893,[lambda x: x['F2'] > 0.35519557947409597,[lambda x: x['F2'] > 0.15475984385120517,[0.325533],[1.081995]],[lambda x: x['F1'] > 0.8468460132270055,[0.139274],[1.230251]]],[lambda x: x['F4'] == 'X',[lambda x: x['F5'] == 'D',[2.038991],[0.369548]],[lambda x: x['F1'] > 0.8468460132270055,[0.111226],[1.1773]]]],[lambda x: x['F5'] == 'D',[lambda x: x['F4'] == 'X',[lambda x: x['F1'] > 0.8468460132270055,[4.601521],[6.54225]],[lambda x: x['F2'] > 0.6515903250373648,[0.36325],[0.15055]]],[lambda x: x["F3"],[lambda x: x['F2'] > 0.8507523105846221,[1.072117],[0.679546]],[lambda x: x['F0'] > 0.05302246412313727,[0.230259],[0.409408]]]]]]
8;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 3, 'max-depth': 2, 'file': 'generated_dataset_05000_1_50_2', 'test-file': 'generated_dataset_05000_1_50_2', 'core-file': 'generated_dataset_05000_1_50_2'};0.024;[lambda x: x['F0'] > 0.4464999650775251,[lambda x: x['F5'] == 'E',[0.594444],[1.10738]],[lambda x: x['F4'] == 'X',[0.830818],[3.822886]]]
9;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'generated_dataset_05000_1_50_2', 'test-file': 'generated_dataset_05000_1_50_2', 'core-file': 'generated_dataset_05000_1_50_2'};0.105;[lambda x: x['F0'] > 0.4464999650775251,[lambda x: x['F5'] == 'E',[lambda x: x['F1'] > 0.349192553677365,[0.411273],[0.699841]],[lambda x: x['F4'] == 'Y',[1.328014],[0.794061]]],[lambda x: x['F4'] == 'X',[lambda x: x['F5'] == 'A',[0.710599],[1.4536]],[lambda x: x['F2'] > 0.8470773274238627,[5.124462],[1.172472]]]]
