id;settings;time;tree
0;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/acath_partition_0', 'test-file': 'test/acath_partition_0', 'core-file': 'acath'};0.234;[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_age'] > 45.0,[lambda x: x['num_choleste'] > 196.0,[1.015407],[1.731219]],[lambda x: x['num_age'] > 55.0,[1.264372],[0.976851]]],[lambda x: x['num_age'] > 61.0,[lambda x: x['num_choleste'] > 230.0,[0.381184],[0.758079]],[lambda x: x['num_choleste'] > 182.5,[2.667408],[0.633059]]]]
1;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/acath_partition_1', 'test-file': 'test/acath_partition_1', 'core-file': 'acath'};0.241;[lambda x: x['num_age'] > 55.0,[lambda x: x['fac_sex'] == 'F',[1.371674],[lambda x: x['num_choleste'] > 230.0,[0.333495],[0.913774]]],[lambda x: x['fac_sex'] == 'F',[0.976809],[0.536724]]]
2;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/acath_partition_2', 'test-file': 'test/acath_partition_2', 'core-file': 'acath'};0.234;[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_age'] > 55.0,[1.406228],[0.930215]],[lambda x: x['num_age'] > 52.0,[lambda x: x['num_choleste'] > 230.0,[0.315134],[0.998924]],[0.585843]]]
3;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/acath_partition_3', 'test-file': 'test/acath_partition_3', 'core-file': 'acath'};0.228;[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_age'] > 50.0,[lambda x: x['num_choleste'] > 243.0,[1.236171],[1.800812]],[lambda x: x['num_age'] > 55.0,[1.302942],[0.934939]]],[lambda x: x['num_age'] > 55.0,[lambda x: x['num_choleste'] > 230.0,[0.390885],[0.947472]],[lambda x: x['num_choleste'] > 160.0,[2.725944],[0.558525]]]]
4;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/acath_partition_4', 'test-file': 'test/acath_partition_4', 'core-file': 'acath'};0.234;[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_age'] > 41.0,[lambda x: x['num_age'] > 35.0,[0.927159],[1.837633]],[lambda x: x['num_age'] > 55.0,[1.299404],[0.945805]]],[lambda x: x['num_age'] > 55.0,[lambda x: x['num_choleste'] > 230.0,[0.371899],[0.963776]],[lambda x: x['num_choleste'] > 160.0,[2.700373],[0.498188]]]]
5;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Aids2_partition_0', 'test-file': 'test/Aids2_partition_0', 'core-file': 'Aids2'};0.273;[lambda x: x['num_age'] > 55.5,[0.967229],[1.962142]]
6;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Aids2_partition_1', 'test-file': 'test/Aids2_partition_1', 'core-file': 'Aids2'};0.28;[lambda x: x['fac_T_categ'] == 'blood',[lambda x: x['num_age'] > 47.0,[lambda x: x['fac_T_categ'] == 'het',[0.953591],[0.310746]],[1.352213]],[lambda x: x['fac_state'] == 'QLD',[1.44686],[7.07043]]]
7;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Aids2_partition_2', 'test-file': 'test/Aids2_partition_2', 'core-file': 'Aids2'};0.273;[lambda x: x['num_age'] > 47.0,[0.953963],[1.363405]]
8;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Aids2_partition_3', 'test-file': 'test/Aids2_partition_3', 'core-file': 'Aids2'};0.267;[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_age'] > 55.5,[0.9831],[1.791403]],[lambda x: x['fac_T_categ'] == 'blood',[0.366725],[2.38744]]]
9;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Aids2_partition_4', 'test-file': 'test/Aids2_partition_4', 'core-file': 'Aids2'};0.272;[lambda x: x['num_age'] > 28.0,[lambda x: x['fac_state'] == 'QLD',[lambda x: x['fac_T_categ'] == 'id',[0.890793],[0.093165]],[lambda x: x['fac_T_categ'] == 'blood',[1.205551],[20.52485]]],[lambda x: x['num_age'] > 47.0,[lambda x: x['fac_T_categ'] == 'het',[0.975926],[0.228161]],[lambda x: x['num_age'] > 55.5,[1.19529],[1.959512]]]]
