id;settings;time;tree
0;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/acath_partition_0', 'test-file': 'test/acath_partition_0'};0.014;[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_age'] > 45.0,[lambda x: x['num_choleste'] > 196.0,[1.015407],[1.731219]],[lambda x: x['num_age'] > 55.0,[1.264372],[0.976851]]],[lambda x: x['num_age'] > 61.0,[lambda x: x['num_choleste'] > 230.0,[0.381184],[0.758079]],[lambda x: x['num_choleste'] > 182.5,[2.667408],[0.633059]]]]
1;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/acath_partition_1', 'test-file': 'test/acath_partition_1'};0.019;[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_age'] > 45.0,[lambda x: x['num_choleste'] > 196.0,[1.062646],[1.779906]],[lambda x: x['num_age'] > 55.0,[1.263682],[0.976809]]],[lambda x: x['num_age'] > 55.0,[lambda x: x['num_choleste'] > 230.0,[0.333495],[0.913774]],[lambda x: x['num_choleste'] > 160.0,[1.797881],[0.512998]]]]
2;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/acath_partition_2', 'test-file': 'test/acath_partition_2'};0.016;[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_age'] > 45.0,[lambda x: x['num_choleste'] > 196.0,[1.172106],[1.720887]],[lambda x: x['num_age'] > 55.0,[1.318387],[0.930215]]],[lambda x: x['num_age'] > 52.0,[lambda x: x['num_choleste'] > 230.0,[0.315134],[0.998924]],[lambda x: x['num_choleste'] > 276.0,[0.529749],[0.743245]]]]
3;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/acath_partition_3', 'test-file': 'test/acath_partition_3'};0.013;[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_age'] > 50.0,[lambda x: x['num_choleste'] > 243.0,[1.236171],[1.800812]],[lambda x: x['num_age'] > 55.0,[1.302942],[0.934939]]],[lambda x: x['num_age'] > 55.0,[lambda x: x['num_choleste'] > 230.0,[0.390885],[0.947472]],[lambda x: x['num_choleste'] > 160.0,[2.725944],[0.558525]]]]
4;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/acath_partition_4', 'test-file': 'test/acath_partition_4'};0.013;[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_age'] > 41.0,[lambda x: x['num_age'] > 35.0,[0.927159],[1.837633]],[lambda x: x['num_age'] > 55.0,[1.299404],[0.945805]]],[lambda x: x['num_age'] > 55.0,[lambda x: x['num_choleste'] > 230.0,[0.371899],[0.963776]],[lambda x: x['num_choleste'] > 160.0,[2.700373],[0.498188]]]]
5;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Aids2_partition_0', 'test-file': 'test/Aids2_partition_0'};0.016;[lambda x: x['num_age'] > 24.0,[lambda x: x['fac_state'] == 'QLD',[lambda x: x['fac_T_categ'] == 'hsid',[0.765369],[1.694886]],[lambda x: x['fac_T_categ'] == 'blood',[1.696234],[16.197001]]],[lambda x: x['fac_sex'] == 'F',[lambda x: x['num_age'] > 47.0,[0.958106],[1.351117]],[lambda x: x['fac_T_categ'] == 'blood',[0.388606],[3.096034]]]]
6;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Aids2_partition_1', 'test-file': 'test/Aids2_partition_1'};0.017;[lambda x: x['fac_T_categ'] == 'blood',[lambda x: x['num_age'] > 47.0,[lambda x: x['fac_sex'] == 'F',[0.956947],[0.370138]],[lambda x: x['fac_T_categ'] == 'haem',[1.33729],[3.420213]]],[lambda x: x['num_age'] > 24.0,[lambda x: x['fac_state'] == 'QLD',[0.502795],[19.986062]],[lambda x: x['fac_state'] == 'NSW',[3.218063],[1.504624]]]]
7;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Aids2_partition_2', 'test-file': 'test/Aids2_partition_2'};0.017;[lambda x: x['num_age'] > 38.0,[lambda x: x['fac_state'] == 'QLD',[lambda x: x['fac_T_categ'] == 'het',[0.904825],[0.275323]],[lambda x: x['fac_T_categ'] == 'blood',[1.134052],[9.579488]]],[lambda x: x['fac_T_categ'] == 'hsid',[lambda x: x['num_age'] > 55.5,[1.093318],[1.830569]],[lambda x: x['num_age'] > 43.0,[0.080823],[22.217126]]]]
8;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Aids2_partition_3', 'test-file': 'test/Aids2_partition_3'};0.015;[lambda x: x['num_age'] > 28.0,[lambda x: x['fac_state'] == 'QLD',[lambda x: x['fac_T_categ'] == 'id',[0.851849],[0.163879]],[lambda x: x['fac_T_categ'] == 'blood',[1.161526],[20.501788]]],[lambda x: x['num_age'] > 47.0,[lambda x: x['fac_T_categ'] == 'het',[0.990503],[0.147603]],[lambda x: x['num_age'] > 55.5,[1.192484],[1.882443]]]]
9;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'train/Aids2_partition_4', 'test-file': 'test/Aids2_partition_4'};0.015;[lambda x: x['num_age'] > 30.0,[lambda x: x['fac_state'] == 'QLD',[lambda x: x['fac_T_categ'] == 'id',[0.855738],[0.120422]],[lambda x: x['fac_T_categ'] == 'blood',[1.241822],[26.014358]]],[lambda x: x['fac_T_categ'] == 'hsid',[lambda x: x['num_age'] > 55.5,[1.026231],[1.947542]],[lambda x: x['num_age'] > 38.0,[0.855762],[0.063287]]]]
