id;settings;time;tree
0;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'generated_dataset_00100_1_10_0', 'test-file': 'generated_dataset_50000_1_10_0', 'core-file': 'generated_dataset_00100_1_10_0'};3.568;[lambda x: x['F2'] > 0.7824771023954624,[0.883033],[lambda x: x['F1'] > 0.8447062443852205,[2.58176],[66.442953]]]
1;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'generated_dataset_00100_1_50_0', 'test-file': 'generated_dataset_50000_1_50_0', 'core-file': 'generated_dataset_00100_1_50_0'};3.768;[lambda x: x['F5'] == 'D',[lambda x: x['F2'] > 0.3037125494670551,[2.211133],[0.881439]],[0.362477]]
2;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'generated_dataset_00100_1_80_0', 'test-file': 'generated_dataset_50000_1_80_0', 'core-file': 'generated_dataset_00100_1_80_0'};3.089;[1.0]
3;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'generated_dataset_00200_1_10_0', 'test-file': 'generated_dataset_50000_1_10_0', 'core-file': 'generated_dataset_00200_1_10_0'};5.87;[lambda x: x['F2'] > 0.6465721132910274,[0.829191],[1.552333]]
4;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'generated_dataset_00200_1_50_0', 'test-file': 'generated_dataset_50000_1_50_0', 'core-file': 'generated_dataset_00200_1_50_0'};9.086;[1.0]
5;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'generated_dataset_00200_1_80_0', 'test-file': 'generated_dataset_50000_1_80_0', 'core-file': 'generated_dataset_00200_1_80_0'};8.266;[1.0]
6;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'generated_dataset_00500_1_10_0', 'test-file': 'generated_dataset_50000_1_10_0', 'core-file': 'generated_dataset_00500_1_10_0'};14.869;[lambda x: x['F0'] > 0.775307038156785,[lambda x: x['F1'] > 0.7382008710544368,[lambda x: x['F2'] > 0.7435230051652595,[0.786604],[3.130998]],[lambda x: x['F4'] == 'Y',[2.481388],[0.668107]]],[0.893804]]
7;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'generated_dataset_00500_1_50_0', 'test-file': 'generated_dataset_50000_1_50_0', 'core-file': 'generated_dataset_00500_1_50_0'};12.778;[1.0]
8;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'generated_dataset_00500_1_80_0', 'test-file': 'generated_dataset_50000_1_80_0', 'core-file': 'generated_dataset_00500_1_80_0'};14.312;[lambda x: x['F2'] > 0.24254448128711137,[1.668095],[0.802906]]
9;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'generated_dataset_01000_1_10_0', 'test-file': 'generated_dataset_50000_1_10_0', 'core-file': 'generated_dataset_01000_1_10_0'};19.011;[lambda x: x['F0'] > 0.8489481537180741,[lambda x: x['F1'] > 0.6515447281806129,[lambda x: x['F2'] > 0.6539557693180085,[0.70118],[lambda x: x['F2'] > 0.7534584314516886,[1.743168],[3.300601]]],[lambda x: x['F4'] == 'Y',[lambda x: x['F1'] > 0.8496539808811987,[1.524764],[2.894121]],[0.587859]]],[0.845223]]
10;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'generated_dataset_01000_1_50_0', 'test-file': 'generated_dataset_50000_1_50_0', 'core-file': 'generated_dataset_01000_1_50_0'};22.251;[0.999998]
11;{'hyper-tune': '1', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'generated_dataset_01000_1_80_0', 'test-file': 'generated_dataset_50000_1_80_0', 'core-file': 'generated_dataset_01000_1_80_0'};20.815;[lambda x: x['F2'] > 0.25316757768099796,[lambda x: x['F5'] == 'D',[1.717848],[lambda x: x['F2'] > 0.05314835028439607,[lambda x: x['F4'] == 'Y',[1.323745],[118.07621]],[0.659464]]],[lambda x: x['F0'] > 0.04452794997468151,[lambda x: x['F1'] > 0.25297205900666725,[6.05577],[0.182415]],[0.788719]]]
