id;settings;time;tree
0;{'hyper-tune': '0', 'cost-complexity': 0, 'max-num-nodes': 3, 'max-depth': 2, 'file': 'generated_dataset_05000_1_50_0', 'test-file': 'generated_dataset_05000_1_50_0', 'core-file': 'generated_dataset_05000_1_50_0'};0.073;[lambda x: x['F0'] > 0.5446576909885412,[lambda x: x['F0'] > 0.34853362324370596,[0.957157],[1.267694]],[lambda x: x["F3"],[1.173697],[0.743179]]]
1;{'hyper-tune': '0', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'generated_dataset_05000_1_50_0', 'test-file': 'generated_dataset_05000_1_50_0', 'core-file': 'generated_dataset_05000_1_50_0'};0.148;[lambda x: x['F0'] > 0.5446576909885412,[lambda x: x['F0'] > 0.34853362324370596,[lambda x: x['F0'] > 0.24896902557014766,[1.117476],[0.641208]],[lambda x: x['F5'] == 'B',[1.357101],[0.960595]]],[lambda x: x["F3"],[lambda x: x['F1'] > 0.5574457648134105,[1.306802],[1.03324]],[lambda x: x['F2'] > 0.0477425916060184,[1.293638],[0.721024]]]]
2;{'hyper-tune': '0', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'generated_dataset_05000_1_50_0', 'test-file': 'generated_dataset_05000_1_50_0', 'core-file': 'generated_dataset_05000_1_50_0'};2.419;[lambda x: x['F0'] > 0.24896902557014766,[lambda x: x['F2'] > 0.3435386963436561,[lambda x: x['F5'] == 'B',[lambda x: x['F0'] > 0.051079453975765854,[0.659624],[1.207492]],[lambda x: x['F4'] == 'X',[1.502902],[0.462041]]],[lambda x: x['F5'] == 'E',[lambda x: x['F5'] == 'C',[1.047458],[1.320524]],[lambda x: x['F1'] > 0.05697242916479678,[0.102522],[1.514146]]]],[lambda x: x['F0'] > 0.5446576909885412,[lambda x: x['F0'] > 0.34853362324370596,[lambda x: x['F1'] > 0.8511096877169048,[0.576469],[1.088392]],[lambda x: x['F5'] == 'B',[1.357101],[0.960595]]],[lambda x: x["F3"],[lambda x: x['F1'] > 0.5574457648134105,[1.306802],[1.03324]],[lambda x: x['F2'] > 0.0477425916060184,[1.293638],[0.721024]]]]]
3;{'hyper-tune': '0', 'cost-complexity': 0, 'max-num-nodes': 31, 'max-depth': 5, 'file': 'generated_dataset_05000_1_50_0', 'test-file': 'generated_dataset_05000_1_50_0', 'core-file': 'generated_dataset_05000_1_50_0'};27.725;[lambda x: x['F0'] > 0.5446576909885412,[lambda x: x['F0'] > 0.24896902557014766,[lambda x: x['F2'] > 0.3435386963436561,[lambda x: x['F5'] == 'B',[lambda x: x['F0'] > 0.051079453975765854,[0.659624],[1.207492]],[lambda x: x['F4'] == 'X',[1.502902],[0.462041]]],[lambda x: x['F5'] == 'E',[lambda x: x['F5'] == 'C',[1.047458],[1.320524]],[lambda x: x['F1'] > 0.05697242916479678,[0.102522],[1.514146]]]],[lambda x: x['F0'] > 0.450172765982405,[lambda x: x['F0'] > 0.34853362324370596,[lambda x: x['F1'] > 0.8511096877169048,[0.576469],[1.088392]],[lambda x: x['F5'] == 'B',[1.496165],[0.78628]]],[lambda x: x['F1'] > 0.9488200986374256,[lambda x: x['F1'] > 0.6552697352049525,[1.118726],[1.588111]],[lambda x: x['F2'] > 0.14943457579176178,[0.094601],[1.469345]]]]],[lambda x: x['F5'] == 'D',[lambda x: x["F3"],[lambda x: x['F1'] > 0.7535824883946053,[lambda x: x['F2'] > 0.0477425916060184,[2.527579],[1.196159]],[lambda x: x['F1'] > 0.8511096877169048,[0.605283],[1.244661]]],[lambda x: x['F1'] > 0.5574457648134105,[lambda x: x['F4'] == 'Y',[0.869264],[0.60921]],[lambda x: x['F0'] > 0.6454550445995801,[0.947552],[0.58493]]]],[lambda x: x['F0'] > 0.7435040793287235,[lambda x: x['F1'] > 0.7535824883946053,[lambda x: x["F3"],[0.993624],[0.620458]],[lambda x: x['F4'] == 'Z',[0.996718],[3.791889]]],[lambda x: x["F3"],[lambda x: x['F2'] > 0.5457935385626562,[1.963727],[0.708816]],[lambda x: x['F2'] > 0.0477425916060184,[4.718746],[0.814098]]]]]]
4;{'hyper-tune': '0', 'cost-complexity': 0, 'max-num-nodes': 3, 'max-depth': 2, 'file': 'generated_dataset_05000_1_50_1', 'test-file': 'generated_dataset_05000_1_50_1', 'core-file': 'generated_dataset_05000_1_50_1'};0.043;[lambda x: x['F1'] > 0.3457788140293246,[lambda x: x['F5'] == 'C',[0.702145],[2.599442]],[lambda x: x['F4'] == 'X',[1.171119],[0.78291]]]
5;{'hyper-tune': '0', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'generated_dataset_05000_1_50_1', 'test-file': 'generated_dataset_05000_1_50_1', 'core-file': 'generated_dataset_05000_1_50_1'};0.103;[lambda x: x['F1'] > 0.3457788140293246,[lambda x: x['F5'] == 'E',[lambda x: x['F5'] == 'C',[0.78463],[2.599442]],[lambda x: x['F0'] > 0.14953700674382492,[1.489342],[0.406796]]],[lambda x: x['F4'] == 'Y',[lambda x: x['F1'] > 0.6383505901278862,[0.670532],[1.160804]],[lambda x: x['F0'] > 0.5474813776545505,[2.087972],[0.663175]]]]
6;{'hyper-tune': '0', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'generated_dataset_05000_1_50_1', 'test-file': 'generated_dataset_05000_1_50_1', 'core-file': 'generated_dataset_05000_1_50_1'};1.911;[lambda x: x['F1'] > 0.3457788140293246,[lambda x: x['F5'] == 'E',[lambda x: x['F5'] == 'C',[lambda x: x['F4'] == 'X',[0.655128],[1.074033]],[lambda x: x['F2'] > 0.8505131017387838,[2.848906],[1.516782]]],[lambda x: x['F2'] > 0.8505131017387838,[lambda x: x['F0'] > 0.14953700674382492,[1.911475],[0.432302]],[lambda x: x["F3"],[0.146166],[0.424285]]]],[lambda x: x['F4'] == 'Z',[lambda x: x['F4'] == 'Y',[lambda x: x['F0'] > 0.253326118875993,[0.581097],[0.858227]],[lambda x: x['F0'] > 0.5474813776545505,[2.087972],[0.663175]]],[lambda x: x['F1'] > 0.747032476042812,[lambda x: x['F1'] > 0.6383505901278862,[0.525481],[1.153865]],[lambda x: x['F0'] > 0.253326118875993,[1.63768],[2.354071]]]]]
7;{'hyper-tune': '0', 'cost-complexity': 0, 'max-num-nodes': 31, 'max-depth': 5, 'file': 'generated_dataset_05000_1_50_1', 'test-file': 'generated_dataset_05000_1_50_1', 'core-file': 'generated_dataset_05000_1_50_1'};21.062;[lambda x: x['F1'] > 0.3457788140293246,[lambda x: x['F2'] > 0.8505131017387838,[lambda x: x['F5'] == 'E',[lambda x: x['F5'] == 'C',[lambda x: x['F4'] == 'X',[0.705478],[1.162887]],[lambda x: x['F4'] == 'Z',[3.101627],[2.402489]]],[lambda x: x['F0'] > 0.948102062609731,[lambda x: x['F0'] > 0.14953700674382492,[1.911475],[0.457013]],[lambda x: x['F2'] > 0.3400230679793965,[0.715337],[0.044598]]]],[lambda x: x['F1'] > 0.04985419199844204,[lambda x: x['F4'] == 'X',[lambda x: x['F5'] == 'C',[0.459254],[2.161984]],[lambda x: x['F5'] == 'E',[7.3214],[0.174226]]],[lambda x: x['F5'] == 'D',[lambda x: x['F5'] == 'C',[0.34438],[1.390709]],[lambda x: x['F0'] > 0.253326118875993,[0.057752],[0.690688]]]]],[lambda x: x['F4'] == 'Z',[lambda x: x['F0'] > 0.5474813776545505,[lambda x: x['F4'] == 'Y',[lambda x: x['F2'] > 0.4433661793299752,[0.54155],[0.810537]],[lambda x: x['F0'] > 0.253326118875993,[1.834985],[2.309189]]],[lambda x: x['F1'] > 0.95705378368854,[lambda x: x['F4'] == 'X',[0.654021],[0.92714]],[lambda x: x['F0'] > 0.7458858210184433,[0.291699],[1.20322]]]],[lambda x: x['F2'] > 0.9439204961867751,[lambda x: x['F1'] > 0.747032476042812,[lambda x: x['F1'] > 0.6383505901278862,[0.511081],[1.146376]],[lambda x: x['F0'] > 0.253326118875993,[1.539264],[2.338871]]],[lambda x: x['F1'] > 0.44406230319666573,[lambda x: x['F0'] > 0.253326118875993,[499.549835],[0.110846]],[lambda x: x['F5'] == 'A',[2.627798],[0.766119]]]]]]
8;{'hyper-tune': '0', 'cost-complexity': 0, 'max-num-nodes': 3, 'max-depth': 2, 'file': 'generated_dataset_05000_1_50_2', 'test-file': 'generated_dataset_05000_1_50_2', 'core-file': 'generated_dataset_05000_1_50_2'};0.02;[lambda x: x['F4'] == 'Y',[lambda x: x["F3"],[0.716647],[1.453199]],[lambda x: x['F1'] > 0.550489586757493,[1.721056],[0.38344]]]
9;{'hyper-tune': '0', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'generated_dataset_05000_1_50_2', 'test-file': 'generated_dataset_05000_1_50_2', 'core-file': 'generated_dataset_05000_1_50_2'};0.051;[lambda x: x['F4'] == 'Y',[lambda x: x['F2'] > 0.15439622661128766,[lambda x: x['F2'] > 0.05247714119805669,[1.101974],[0.499742]],[lambda x: x["F3"],[0.712944],[1.679342]]],[lambda x: x['F1'] > 0.444838387917934,[lambda x: x['F2'] > 0.15439622661128766,[0.783022],[2.362498]],[lambda x: x['F1'] > 0.550489586757493,[1.041467],[0.38344]]]]
