id;settings;time;tree
0;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 3, 'max-depth': 2, 'file': 'generated_dataset_05000_1_10_0', 'test-file': 'generated_dataset_05000_1_10_0', 'core-file': 'generated_dataset_05000_1_10_0'};0.019;[lambda x: x['F1'] > 0.5458171273356509,[lambda x: x['F1'] > 0.24999804200174053,[1.002421],[1.215078]],[lambda x: x["F3"],[0.670324],[1.243612]]]
1;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'generated_dataset_05000_1_10_0', 'test-file': 'generated_dataset_05000_1_10_0', 'core-file': 'generated_dataset_05000_1_10_0'};0.077;[lambda x: x['F2'] > 0.7555958052112264,[lambda x: x['F1'] > 0.5458171273356509,[lambda x: x['F1'] > 0.24999804200174053,[1.046237],[1.297668]],[lambda x: x["F3"],[0.598408],[1.350268]]],[lambda x: x['F5'] == 'E',[lambda x: x['F2'] > 0.8475456410261147,[0.748791],[1.146274]],[lambda x: x['F0'] > 0.6547655922674755,[1.837817],[0.690589]]]]
2;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'generated_dataset_05000_1_10_0', 'test-file': 'generated_dataset_05000_1_10_0', 'core-file': 'generated_dataset_05000_1_10_0'};1.913;[lambda x: x['F2'] > 0.7555958052112264,[lambda x: x["F3"],[lambda x: x['F1'] > 0.5458171273356509,[lambda x: x['F1'] > 0.24999804200174053,[1.018879],[1.430859]],[lambda x: x['F1'] > 0.6486903125946804,[0.766199],[0.559861]]],[lambda x: x['F0'] > 0.6547655922674755,[lambda x: x['F0'] > 0.15423690845063398,[1.081432],[1.394365]],[lambda x: x['F1'] > 0.3384346216873018,[0.821878],[1.295055]]]],[lambda x: x['F5'] == 'E',[lambda x: x['F2'] > 0.9492105037896809,[lambda x: x['F2'] > 0.8475456410261147,[0.748791],[1.033795]],[lambda x: x['F1'] > 0.14639999513391716,[0.970811],[1.653391]]],[lambda x: x['F0'] > 0.6547655922674755,[lambda x: x['F2'] > 0.8475456410261147,[1.261995],[2.500214]],[lambda x: x['F4'] == 'X',[0.816234],[0.509767]]]]]
3;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 31, 'max-depth': 5, 'file': 'generated_dataset_05000_1_10_0', 'test-file': 'generated_dataset_05000_1_10_0', 'core-file': 'generated_dataset_05000_1_10_0'};26.612;[lambda x: x['F2'] > 0.9492105037896809,[lambda x: x["F3"],[lambda x: x['F2'] > 0.7555958052112264,[lambda x: x['F1'] > 0.5458171273356509,[lambda x: x['F1'] > 0.24999804200174053,[1.018879],[1.430859]],[lambda x: x['F1'] > 0.6486903125946804,[0.766199],[0.559861]]],[lambda x: x['F5'] == 'E',[lambda x: x['F2'] > 0.8475456410261147,[0.722159],[1.160531]],[lambda x: x['F0'] > 0.6547655922674755,[1.477901],[0.636704]]]],[lambda x: x['F0'] > 0.6547655922674755,[lambda x: x['F2'] > 0.7555958052112264,[lambda x: x['F0'] > 0.15423690845063398,[1.081432],[1.394365]],[lambda x: x['F5'] == 'E',[0.832137],[1.89443]]],[lambda x: x['F1'] > 0.4454077040882393,[lambda x: x['F2'] > 0.8475456410261147,[0.817209],[1.292375]],[lambda x: x['F2'] > 0.6546597508517615,[1.443003],[0.867517]]]]],[lambda x: x['F5'] == 'B',[lambda x: x['F5'] == 'A',[lambda x: x['F5'] == 'E',[lambda x: x['F5'] == 'C',[1.916424],[1.166942]],[lambda x: x['F0'] > 0.7521251312705464,[2.650759],[0.494871]]],[lambda x: x['F1'] > 0.8538159635716098,[lambda x: x['F1'] > 0.14639999513391716,[0.948544],[2.17064]],[lambda x: x['F0'] > 0.5546351468836209,[100.856448],[0.532572]]]],[lambda x: x['F0'] > 0.4448350211277302,[lambda x: x['F4'] == 'Y',[lambda x: x['F1'] > 0.4454077040882393,[0.782588],[6.218337]],[lambda x: x['F1'] > 0.6486903125946804,[114.602066],[1.079201]]],[lambda x: x['F0'] > 0.7521251312705464,[lambda x: x["F3"],[25.310246],[1.222575]],[lambda x: x['F4'] == 'Y',[2.720293],[0.40131]]]]]]
4;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 3, 'max-depth': 2, 'file': 'generated_dataset_05000_1_10_1', 'test-file': 'generated_dataset_05000_1_10_1', 'core-file': 'generated_dataset_05000_1_10_1'};0.017;[lambda x: x["F3"],[lambda x: x['F5'] == 'C',[0.740115],[1.398791]],[lambda x: x['F4'] == 'Z',[1.080149],[1.837971]]]
5;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'generated_dataset_05000_1_10_1', 'test-file': 'generated_dataset_05000_1_10_1', 'core-file': 'generated_dataset_05000_1_10_1'};0.077;[lambda x: x["F3"],[lambda x: x['F1'] > 0.7470998718690315,[lambda x: x['F5'] == 'C',[0.657019],[1.514403]],[lambda x: x['F0'] > 0.654705401123149,[1.468797],[0.770636]]],[lambda x: x['F4'] == 'Z',[lambda x: x['F0'] > 0.1534372130170485,[1.508984],[1.026687]],[lambda x: x['F1'] > 0.13704404335301734,[1.061023],[2.09432]]]]
6;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 15, 'max-depth': 4, 'file': 'generated_dataset_05000_1_10_1', 'test-file': 'generated_dataset_05000_1_10_1', 'core-file': 'generated_dataset_05000_1_10_1'};1.84;[lambda x: x["F3"],[lambda x: x['F1'] > 0.7470998718690315,[lambda x: x['F0'] > 0.35188967139908095,[lambda x: x['F1'] > 0.4362682637472477,[0.819694],[1.072593]],[lambda x: x['F5'] == 'C',[0.571289],[1.967495]]],[lambda x: x['F5'] == 'C',[lambda x: x['F0'] > 0.654705401123149,[1.57083],[0.717196]],[lambda x: x['F2'] > 0.5483797031353608,[1.725309],[0.793464]]]],[lambda x: x['F1'] > 0.33614536639969705,[lambda x: x['F1'] > 0.13704404335301734,[lambda x: x['F1'] > 0.043698222215394544,[0.706039],[1.131244]],[lambda x: x['F4'] == 'Z',[1.148219],[2.351988]]],[lambda x: x['F0'] > 0.1534372130170485,[lambda x: x['F1'] > 0.9494900037186749,[1.988661],[0.90494]],[lambda x: x['F4'] == 'Z',[1.038779],[2.097035]]]]]
7;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 31, 'max-depth': 5, 'file': 'generated_dataset_05000_1_10_1', 'test-file': 'generated_dataset_05000_1_10_1', 'core-file': 'generated_dataset_05000_1_10_1'};26.138;[lambda x: x["F3"],[lambda x: x['F1'] > 0.8485815810252084,[lambda x: x['F1'] > 0.7470998718690315,[lambda x: x['F0'] > 0.35188967139908095,[lambda x: x['F1'] > 0.4362682637472477,[0.819694],[1.072593]],[lambda x: x['F5'] == 'C',[0.571289],[1.967495]]],[lambda x: x['F5'] == 'C',[lambda x: x['F0'] > 0.654705401123149,[1.589825],[0.758609]],[lambda x: x['F2'] > 0.5483797031353608,[2.370114],[0.752337]]]],[lambda x: x['F0'] > 0.4551582349096308,[lambda x: x['F0'] > 0.1534372130170485,[lambda x: x['F5'] == 'A',[1.623409],[11.525368]],[lambda x: x['F5'] == 'B',[1.264262],[6.355268]]],[lambda x: x['F2'] > 0.445539821132882,[lambda x: x['F5'] == 'C',[0.710342],[2.573271]],[lambda x: x['F0'] > 0.654705401123149,[1.3713],[0.71395]]]]],[lambda x: x['F1'] > 0.13704404335301734,[lambda x: x['F1'] > 0.043698222215394544,[lambda x: x['F2'] > 0.25846045594655015,[lambda x: x['F5'] == 'A',[0.841782],[0.202033]],[lambda x: x['F0'] > 0.654705401123149,[0.920784],[0.493404]]],[lambda x: x['F5'] == 'D',[lambda x: x['F4'] == 'Y',[1.505133],[0.955252]],[lambda x: x['F2'] > 0.7498725172649008,[0.680614],[2.844379]]]],[lambda x: x['F4'] == 'Y',[lambda x: x['F0'] > 0.1534372130170485,[lambda x: x['F1'] > 0.9494900037186749,[1.903251],[1.0647]],[lambda x: x['F4'] == 'X',[2.143841],[1.118029]]],[lambda x: x['F0'] > 0.04977748010569988,[lambda x: x['F1'] > 0.4362682637472477,[0.931815],[4.964976]],[lambda x: x['F0'] > 0.654705401123149,[1.104947],[0.939843]]]]]]
8;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 3, 'max-depth': 2, 'file': 'generated_dataset_05000_1_10_2', 'test-file': 'generated_dataset_05000_1_10_2', 'core-file': 'generated_dataset_05000_1_10_2'};0.019;[lambda x: x['F5'] == 'A',[lambda x: x['F0'] > 0.8548127600381159,[0.832242],[4.888424]],[lambda x: x['F0'] > 0.4464125867502716,[0.832775],[1.681339]]]
9;{'mode': 'direct', 'cost-complexity': 0, 'max-num-nodes': 7, 'max-depth': 3, 'file': 'generated_dataset_05000_1_10_2', 'test-file': 'generated_dataset_05000_1_10_2', 'core-file': 'generated_dataset_05000_1_10_2'};0.076;[lambda x: x['F0'] > 0.4464125867502716,[lambda x: x['F1'] > 0.5481413947987572,[lambda x: x['F0'] > 0.05198607040502906,[2.020299],[0.704451]],[lambda x: x['F4'] == 'Z',[0.656791],[1.938946]]],[lambda x: x['F5'] == 'A',[lambda x: x['F0'] > 0.8548127600381159,[0.857661],[4.888424]],[lambda x: x['F1'] > 0.5481413947987572,[3.201923],[1.062237]]]]
